date,universe_pct,aum_krw,gross_return,net_return,one_way_cost,mean_adv_krw,n_universe
2000-01-31,0.2,100000000,0.8585867109846469,0.8565827725701715,0.0010019692072377418,21489974852479.44,211
2000-01-31,0.2,1000000000,0.8585867109846469,0.8565742566245346,0.001006227180056153,21489974852479.44,211
2000-01-31,0.2,10000000000,0.8585867109846469,0.8565473268398921,0.0010196920723774192,21489974852479.44,211
2000-01-31,0.30000000000000004,100000000,0.987120110393679,0.9850806340730204,0.0010197381603293029,213897352555.68893,316
2000-01-31,0.30000000000000004,1000000000,0.987120110393679,0.9849952753067546,0.0010624175434621763,213897352555.68893,316
2000-01-31,0.30000000000000004,10000000000,0.987120110393679,0.9847253471870929,0.0011973816032930292,213897352555.68893,316
2000-01-31,0.4000000000000001,100000000,1.093672498832251,1.0916142039048982,0.0010291474636764588,98088301522.20001,422
2000-01-31,0.4000000000000001,1000000000,1.093672498832251,1.0914881540857817,0.0010921723732346348,98088301522.20001,422
2000-01-31,0.4000000000000001,10000000000,1.093672498832251,1.0910895495587218,0.0012914746367645876,98088301522.20001,422
2000-01-31,0.5000000000000001,100000000,1.1115023802171748,1.1094420018801359,0.0010301891685194728,91435838220.10318,528
2000-01-31,0.5000000000000001,1000000000,1.1115023802171748,1.1093114471507985,0.0010954665331881872,91435838220.10318,528
2000-01-31,0.5000000000000001,10000000000,1.1115023802171748,1.1088985968467855,0.0013018916851947277,91435838220.10318,528
2000-01-31,0.6000000000000001,100000000,1.1556385143170196,1.1535649122406972,0.0010368010381612094,61531657398.40634,633
2000-01-31,0.6000000000000001,1000000000,1.1556385143170196,1.1534057641153233,0.0011163751008481967,61531657398.40634,633
2000-01-31,0.6000000000000001,10000000000,1.1556385143170196,1.1529024935537955,0.0013680103816120946,61531657398.40634,633
2000-01-31,0.7000000000000002,100000000,1.239035252119715,1.2369541207509662,0.0010405656843744376,50640867815.819046,739
2000-01-31,0.7000000000000002,1000000000,1.239035252119715,1.2367786922047816,0.0011282799574667255,50640867815.819046,739
2000-01-31,0.7000000000000002,10000000000,1.239035252119715,1.2362239384322262,0.0014056568437443757,50640867815.819046,739
2000-01-31,0.8000000000000003,100000000,1.2730480525547874,1.2709385208789867,0.0010547658379003407,27784288554.149208,844
2000-01-31,0.8000000000000003,1000000000,1.2730480525547874,1.270701682983322,0.0011731847857326502,27784288554.149208,844
2000-01-31,0.8000000000000003,10000000000,1.2730480525547874,1.2699527357967806,0.0015476583790034072,27784288554.149208,844
2000-01-31,0.9000000000000001,100000000,1.2487156340932661,1.2466060276535496,0.001054803219858245,27746397463.946033,950
2000-01-31,0.9000000000000001,1000000000,1.2487156340932661,1.2463690280975401,0.0011733029978630246,27746397463.946033,950
2000-01-31,0.9000000000000001,10000000000,1.2487156340932661,1.2456195696961012,0.001548032198582451,27746397463.946033,950
2000-01-31,1.0000000000000002,100000000,1.2487156340932661,1.2466060276535496,0.001054803219858245,27746397463.946033,1056
2000-01-31,1.0000000000000002,1000000000,1.2487156340932661,1.2463690280975401,0.0011733029978630246,27746397463.946033,1056
2000-01-31,1.0000000000000002,10000000000,1.2487156340932661,1.2456195696961012,0.001548032198582451,27746397463.946033,1056
2000-02-29,0.2,100000000,0.04741264049795995,0.04538789975333212,0.0010123703723139141,544569372429.9698,214
2000-02-29,0.2,1000000000,0.04741264049795995,0.04533440339392744,0.001039118552016256,544569372429.9698,214
2000-02-29,0.2,10000000000,0.04741264049795995,0.04516523305168167,0.0011237037231391406,544569372429.9698,214
2000-02-29,0.30000000000000004,100000000,0.11188730889752624,0.1098494835726442,0.0010189126624410214,232977194677.82697,322
2000-02-29,0.30000000000000004,1000000000,0.11188730889752624,0.10976769471766315,0.0010598070899315475,232977194677.82697,322
2000-02-29,0.30000000000000004,10000000000,0.11188730889752624,0.1095090556487058,0.0011891266244102138,232977194677.82697,322
2000-02-29,0.4000000000000001,100000000,0.1336504956047799,0.13160673817934881,0.001021878712715549,174090560108.06348,429
2000-02-29,0.4000000000000001,1000000000,0.1336504956047799,0.13151212247587266,0.001069186564453623,174090560108.06348,429
2000-02-29,0.4000000000000001,10000000000,0.1336504956047799,0.13121292135046891,0.0012187871271554913,174090560108.06348,429
2000-02-29,0.5000000000000001,100000000,0.1520100708076478,0.14996616794486894,0.0010219514313894254,172939048335.80945,537
2000-02-29,0.5000000000000001,1000000000,0.1520100708076478,0.14987123776546482,0.001069416521091499,172939048335.80945,537
2000-02-29,0.5000000000000001,10000000000,0.1520100708076478,0.1495710421798593,0.0012195143138942544,172939048335.80945,537
2000-02-29,0.6000000000000001,100000000,0.17141630628084772,0.16937210400611924,0.001022101137364246,170604116598.45078,644
2000-02-29,0.6000000000000001,1000000000,0.17141630628084772,0.1692765264149452,0.0010698899329512675,170604116598.45078,644
2000-02-29,0.6000000000000001,10000000000,0.17141630628084772,0.1689742835335628,0.001221011373642459,170604116598.45078,644
2000-02-29,0.7000000000000002,100000000,0.16052006557057616,0.1584757580416226,0.0010221537644767912,169794526175.4746,751
2000-02-29,0.7000000000000002,1000000000,0.16052006557057616,0.15837995286158899,0.0010700563544935883,169794526175.4746,751
2000-02-29,0.7000000000000002,10000000000,0.16052006557057616,0.15807699028104033,0.001221537644767911,169794526175.4746,751
2000-02-29,0.8000000000000003,100000000,0.16408089643111035,0.16203658083704436,0.0010221577970329846,169732729087.84918,859
2000-02-29,0.8000000000000003,1000000000,0.16408089643111035,0.16194075821799844,0.0010700691065559523,169732729087.84918,859
2000-02-29,0.8000000000000003,10000000000,0.16408089643111035,0.16163774049045065,0.0012215779703298455,169732729087.84918,859
2000-02-29,0.9000000000000001,100000000,0.26381642180322773,0.26177210108926174,0.0010221603569829936,169693516524.1984,966
2000-02-29,0.9000000000000001,1000000000,0.26381642180322773,0.2616762673995704,0.001070077201828677,169693516524.1984,966
2000-02-29,0.9000000000000001,10000000000,0.26381642180322773,0.26137321466356783,0.0012216035698299358,169693516524.1984,966
2000-02-29,1.0000000000000002,100000000,0.318776227340613,0.3167317476586382,0.0010222398409873979,168482732897.73175,1074
2000-02-29,1.0000000000000002,1000000000,0.318776227340613,0.3166355702359727,0.001070328552320145,168482732897.73175,1074
