date,momentum_only,failure_aware
2002-12-30,-0.03581052990166016,-0.03579946170984434
2003-01-30,-0.09908664884586083,-0.07619022929234998
2003-02-28,-0.1270300476532833,-0.11334399467965035
2003-03-31,0.040980658602755834,0.062479906513704185
2003-04-30,0.12010423055778406,0.10704869259434098
2003-05-30,0.039218169586650635,-0.005144409859998311
2003-06-30,0.0567438314910328,0.10369530815315217
2003-07-31,0.12547552035997864,0.10485277013832688
2003-08-29,-0.11815679558826334,-0.1562735274456676
2003-09-30,0.10266413104400732,-0.018484348577805485
2003-10-31,-0.06937899089522674,0.02967234016796894
2003-11-28,0.052783951507762134,0.01906998863041921
2003-12-30,0.028027834320343274,-0.05137589841490985
2004-01-30,-0.05973658414327576,-0.058776895106023214
2004-02-27,-0.048603624122202975,-0.0391117765601719
2004-03-31,0.1572944579493109,0.06349834900202606
2004-04-30,-0.10613655647006236,-0.08291611072303856
2004-05-31,-0.05367267112157184,-0.07350021010737316
2004-06-30,-0.2198524989520818,-0.07622911568493741
2004-07-30,0.14081873223502087,0.1107227906970649
2004-08-31,-0.15374577613314291,0.030316516244513963
2004-09-30,0.03612204835639427,-0.015323856585447777
2004-10-29,0.009809225125020471,0.12562492502172404
2004-11-30,0.0342490625333624,-0.01688993879017601
2004-12-30,0.4407660345030789,0.2677466459846605
2005-01-31,-0.05711968148202814,-0.02106867190841575
2005-02-28,-0.08385726105564104,-0.11621440197895462
2005-03-31,-0.16363844917939954,-0.07614712201229114
2005-04-29,0.3170427138190633,0.024506867532695806
2005-05-31,0.21101911519590744,0.08763288125555264
2005-06-30,0.11691100739079575,0.12442460494319825
2005-07-29,-0.15272538635593555,-0.1070578545469853
2005-08-31,0.06322039978179733,0.1829145307277073
2005-09-30,0.08655732421667599,0.002374002397002939
2005-10-31,0.048982733521174084,0.14689530859444336
2005-11-30,-0.1394316701726593,-0.12927481035795582
2005-12-29,0.011253688888866568,-0.04251131278422694
2006-01-31,-0.026808163221756425,-0.02618458720389859
2006-02-28,-0.031063693176959818,-0.051727800656345066
2006-03-31,0.012531898139615742,0.007706890072692407
2006-04-28,-0.04053792354218256,-0.14313396843660878
2006-05-30,-0.06618077663723948,-0.08664785469510011
2006-06-30,-0.09154994714303889,-0.05713737084181996
2006-07-31,-0.11232364116905066,-0.054370912357063234
2006-08-31,-0.0004354762449006751,0.10658286591666369
2006-09-29,-0.019242415650472917,0.06504040561531613
2006-10-31,-0.018577703681785938,0.002820718929151489
2006-11-30,0.03192319818525245,0.050012820568312195
2006-12-28,-0.07621960451192508,-0.06732845612974468
2007-01-31,0.04897858887055707,0.12141362916629159
2007-02-28,0.0042300708816737234,-0.014185344919082925
2007-03-30,-0.07903903135735986,0.03116363610015147
2007-04-30,0.10633893360361421,0.16828162791195808
2007-05-31,-0.07672614335148006,0.004774858406184213
