date,ticker,suspension_status
2001-12-28,012690,거래정지
2001-12-28,045510,거래정지
2001-12-28,000040,거래정지
2001-12-28,009310,거래정지
2001-12-28,030350,거래정지
2001-12-28,000030,거래정지
2001-12-28,000110,거래정지
2001-12-28,001690,거래정지
2001-12-28,002540,거래정지
2001-12-28,002860,거래정지
2001-12-28,004190,거래정지
2001-12-28,004290,거래정지
2001-12-28,004460,거래정지
2001-12-28,005770,거래정지
2001-12-28,006610,거래정지
2001-12-28,009890,거래정지
2001-12-28,011160,거래정지
2001-12-28,025840,거래정지
2001-12-28,038830,거래정지
2002-01-31,006280,거래정지
2002-01-31,010820,거래정지
2002-01-31,011370,거래정지
2002-01-31,005740,거래정지
2002-01-31,000030,거래정지
2002-01-31,000110,거래정지
2002-01-31,000470,거래정지
2002-01-31,002860,거래정지
2002-01-31,004110,거래정지
2002-01-31,004190,거래정지
2002-01-31,004460,거래정지
2002-01-31,005770,거래정지
2002-01-31,006610,거래정지
2002-01-31,008530,거래정지
2002-01-31,009330,거래정지
2002-01-31,011720,거래정지
2002-01-31,018410,거래정지
2002-01-31,032600,거래정지
2002-02-28,010780,거래정지
2002-02-28,008700,거래정지
2002-02-28,005740,거래정지
2002-02-28,000030,거래정지
2002-02-28,000110,거래정지
2002-02-28,000470,거래정지
2002-02-28,001670,거래정지
2002-02-28,002180,거래정지
2002-02-28,002860,거래정지
2002-02-28,004460,거래정지
2002-02-28,005060,거래정지
2002-02-28,005770,거래정지
2002-02-28,006610,거래정지
2002-02-28,008540,거래정지
2002-02-28,009330,거래정지
2002-02-28,032600,거래정지
2002-02-28,039500,거래정지
2002-03-29,028300,거래정지
2002-03-29,004960,거래정지
2002-03-29,005870,거래정지
2002-03-29,005740,거래정지
2002-03-29,011150,거래정지
2002-03-29,031310,거래정지
2002-03-29,007720,거래정지
2002-03-29,000040,거래정지
2002-03-29,027040,거래정지
2002-03-29,004870,거래정지
2002-03-29,021040,거래정지
2002-03-29,000030,거래정지
2002-03-29,000110,거래정지
2002-03-29,000470,거래정지
2002-03-29,001030,거래정지
2002-03-29,001110,거래정지
2002-03-29,002610,거래정지
2002-03-29,002860,거래정지
2002-03-29,004110,거래정지
2002-03-29,004420,거래정지
2002-03-29,004530,거래정지
2002-03-29,005770,거래정지
2002-03-29,006210,거래정지
2002-03-29,006290,거래정지
2002-03-29,006610,거래정지
2002-03-29,007630,거래정지
2002-03-29,008440,거래정지
2002-03-29,009330,거래정지
2002-03-29,009890,거래정지
2002-03-29,012250,거래정지
2002-03-29,012270,거래정지
2002-03-29,013200,거래정지
2002-03-29,015540,거래정지
2002-03-29,018570,거래정지
2002-03-29,022780,거래정지
2002-03-29,027700,거래정지
2002-03-29,032600,거래정지
2002-03-29,044570,거래정지
2002-04-30,001250,거래정지
2002-04-30,000300,거래정지
2002-04-30,005740,거래정지
2002-04-30,000040,거래정지
2002-04-30,013000,거래정지
2002-04-30,027040,거래정지
2002-04-30,004870,거래정지
2002-04-30,021040,거래정지
2002-04-30,005110,거래정지
2002-04-30,000110,거래정지
2002-04-30,000470,거래정지
2002-04-30,001030,거래정지
2002-04-30,002860,거래정지
2002-04-30,003660,거래정지
2002-04-30,005770,거래정지
2002-04-30,006610,거래정지
2002-04-30,007630,거래정지
2002-04-30,008540,거래정지
2002-04-30,009330,거래정지
2002-04-30,010330,거래정지
2002-04-30,012650,거래정지
2002-04-30,013200,거래정지
2002-04-30,018890,거래정지
2002-04-30,021740,거래정지
2002-04-30,022780,거래정지
2002-04-30,032600,거래정지
2002-04-30,044570,거래정지
2002-05-31,000040,거래정지
2002-05-31,017000,거래정지
2002-05-31,027040,거래정지
2002-05-31,000110,거래정지
2002-05-31,000470,거래정지
2002-05-31,001030,거래정지
2002-05-31,002860,거래정지
2002-05-31,005770,거래정지
2002-05-31,006610,거래정지
2002-05-31,007630,거래정지
2002-05-31,009330,거래정지
2002-05-31,013250,거래정지
2002-05-31,022780,거래정지
2002-05-31,032600,거래정지
2002-05-31,037740,거래정지
2002-06-28,007700,거래정지
2002-06-28,002450,거래정지
2002-06-28,000040,거래정지
2002-06-28,009810,거래정지
2002-06-28,000110,거래정지
2002-06-28,000470,거래정지
2002-06-28,001030,거래정지
2002-06-28,002860,거래정지
2002-06-28,004820,거래정지
2002-06-28,005770,거래정지
2002-06-28,006610,거래정지
2002-06-28,009330,거래정지
2002-06-28,012250,거래정지
2002-06-28,013250,거래정지
2002-06-28,014010,거래정지
2002-06-28,021930,거래정지
