turnover_bucket,signal,rank_ic_12m
1,ret_1m,0.01652624182808435
1,ret_6m,0.04418286530030961
2,ret_1m,0.017556185304255654
2,ret_6m,0.033978344726043774
3,ret_1m,0.02275343358296438
3,ret_6m,0.03541350179148323
4,ret_1m,0.012799931133194829
4,ret_6m,0.023175852163817658
5,ret_1m,0.0009905030118915296
5,ret_6m,0.01719358993734863
