universe_pct,aum_krw,months,gross_cagr,net_cagr,avg_one_way_cost,avg_adv
0.2,100000000,316,-0.12932435082100602,-0.15098164944641668,0.0010288302256598778,4354481860188.2217
0.2,1000000000,316,-0.12932435082100602,-0.15226528293198405,0.0010911691785418448,4354481860188.2217
0.2,10000000000,316,-0.12932435082100602,-0.15631321293432077,0.0012883022565987785,4354481860188.2217
0.30000000000000004,100000000,316,-0.11811404596344233,-0.14013127416058646,0.0010337772772365855,1510798163487.5417
0.30000000000000004,1000000000,316,-0.11811404596344233,-0.14165427129381591,0.0011068131292265688,1510798163487.5417
0.30000000000000004,10000000000,316,-0.11811404596344233,-0.14645474227441346,0.0013377727723658563,1510798163487.5417
0.4000000000000001,100000000,316,-0.10772339294933952,-0.13005743735020636,0.0010371692827549185,1468779370006.333
0.4000000000000001,1000000000,316,-0.10772339294933952,-0.131751685676336,0.0011175395925003603,1468779370006.333
0.4000000000000001,10000000000,316,-0.10772339294933952,-0.1370902317908701,0.0013716928275491842,1468779370006.333
0.5000000000000001,100000000,316,-0.11512580470557698,-0.1373296009038748,0.0010393339389050903,1390111739674.2703
0.5000000000000001,1000000000,316,-0.11512580470557698,-0.13911012342237217,0.0011243848362859953,1390111739674.2703
0.5000000000000001,10000000000,316,-0.11512580470557698,-0.14471935320804685,0.0013933393890509039,1390111739674.2703
0.6000000000000001,100000000,316,-0.10859609468878972,-0.1309997596258493,0.0010412234642612197,1354899900374.3635
0.6000000000000001,1000000000,316,-0.10859609468878972,-0.13288129101986823,0.0011303600401080043,1354899900374.3635
0.6000000000000001,10000000000,316,-0.10859609468878972,-0.13880764315279348,0.0014122346426121964,1354899900374.3635
0.7000000000000002,100000000,316,-0.07058582039280858,-0.0939228155329892,0.0010428464826015872,1119954953219.0227
0.7000000000000002,1000000000,316,-0.07058582039280858,-0.09595959474949378,0.0011354924747477926,1119954953219.0227
0.7000000000000002,10000000000,316,-0.07058582039280858,-0.10237400688488385,0.001428464826015873,1119954953219.0227
0.8000000000000003,100000000,316,-0.023764907180240047,-0.04821767262377352,0.0010437065332782821,1108660726454.505
0.8000000000000003,1000000000,316,-0.023764907180240047,-0.05039969448551562,0.0011382121937893173,1108660726454.505
0.8000000000000003,10000000000,316,-0.023764907180240047,-0.057270945981205856,0.0014370653327828212,1108660726454.505
0.9000000000000001,100000000,316,-0.01771409517951872,-0.04232615181539756,0.0010445445880271867,1097483213881.4209
0.9000000000000001,1000000000,316,-0.01771409517951872,-0.04456149650379737,0.0011408623555997765,1097483213881.4209
0.9000000000000001,10000000000,316,-0.01771409517951872,-0.05160013817844211,0.0014454458802718672,1097483213881.4209
1.0000000000000002,100000000,316,0.04083241905834978,0.014860695278375635,0.0010453055910173272,1095608198364.9955
1.0000000000000002,1000000000,316,0.04083241905834978,0.012463983295870396,0.0011432688583548189,1095608198364.9955
1.0000000000000002,10000000000,316,0.04083241905834978,0.004917619175717203,0.0014530559101732716,1095608198364.9955
