date,signal,universe_pct,selection_recall_vs_full,signal_dispersion,next_1m_return,universe_n
2000-05-31,momentum,0.30000000000000004,0.0,,,0
2000-05-31,momentum,0.4000000000000001,0.0,,,0
2000-05-31,momentum,0.5000000000000001,0.0,,,0
2000-05-31,momentum,0.6000000000000001,0.0,,,0
2000-05-31,momentum,0.7000000000000002,0.0,,,0
2000-05-31,momentum,0.8000000000000003,0.0,,,0
2000-05-31,momentum,0.9000000000000001,0.0,,,0
2000-05-31,momentum,1.0000000000000002,0.0,,,0
2000-06-30,reversal,0.2,0.2,0.2280638251075343,-0.21361017275225966,205
2000-06-30,reversal,0.30000000000000004,0.26666666666666666,0.219079692840298,-0.1605498723338548,308
2000-06-30,reversal,0.4000000000000001,0.3,0.23817350051440095,-0.09382568615865959,411
2000-06-30,reversal,0.5000000000000001,0.4666666666666667,0.24698875133086326,-0.08459926314152244,514
2000-06-30,reversal,0.6000000000000001,0.5666666666666667,0.23826926356872627,-0.08145488771861506,617
2000-06-30,reversal,0.7000000000000002,0.7,0.24852123210664293,-0.10627861827307114,720
2000-06-30,reversal,0.8000000000000003,0.7666666666666667,0.25443589709656733,-0.08197678073424726,823
2000-06-30,reversal,0.9000000000000001,0.9,0.24805224939574821,-0.06689813843630409,926
2000-06-30,reversal,1.0000000000000002,1.0,0.24269846010887225,-0.05574348824589161,1029
2000-06-30,momentum,0.2,0.23333333333333334,4.278478620554423,-0.15352089975004188,205
2000-06-30,momentum,0.30000000000000004,0.3,3.907556594330638,-0.10554393905219611,308
2000-06-30,momentum,0.4000000000000001,0.4,3.4403225324736972,-0.18108320425802138,411
2000-06-30,momentum,0.5000000000000001,0.43333333333333335,3.1113666978641725,-0.17642151448203414,514
2000-06-30,momentum,0.6000000000000001,0.5333333333333333,2.964267018136568,-0.15957592151191455,617
2000-06-30,momentum,0.7000000000000002,0.6333333333333333,2.853847924634681,-0.06511977149039047,720
2000-06-30,momentum,0.8000000000000003,0.7333333333333333,2.729557469380061,0.1556769364655515,823
2000-06-30,momentum,0.9000000000000001,0.8333333333333334,2.622404874614759,0.15329993445007897,926
2000-06-30,momentum,1.0000000000000002,1.0,2.524264810493951,0.12545204244958147,1029
2000-07-31,reversal,0.2,0.4666666666666667,0.5274167881513987,-0.05082175726192363,209
2000-07-31,reversal,0.30000000000000004,0.6666666666666666,0.48861233211625155,-0.008887568609400993,314
2000-07-31,reversal,0.4000000000000001,0.8,0.43114533444729364,0.010682822490604179,419
2000-07-31,reversal,0.5000000000000001,0.9666666666666667,0.42158810903374094,0.006921941454874133,524
2000-07-31,reversal,0.6000000000000001,0.9666666666666667,0.39481830054500927,0.006921941454874133,628
2000-07-31,reversal,0.7000000000000002,1.0,0.3744440269874356,-0.000700845855170873,733
2000-07-31,reversal,0.8000000000000003,1.0,0.3663940079024084,-0.000700845855170873,838
2000-07-31,reversal,0.9000000000000001,1.0,0.352909918781465,-0.000700845855170873,943
2000-07-31,reversal,1.0000000000000002,1.0,0.3380436016793831,-0.000700845855170873,1048
2000-07-31,momentum,0.2,0.23333333333333334,3.6510545596163526,-0.06789407006029169,209
2000-07-31,momentum,0.30000000000000004,0.3333333333333333,3.065248753312432,-0.08679165189393087,314
2000-07-31,momentum,0.4000000000000001,0.4,2.7194918746856986,-0.08990115206522169,419
2000-07-31,momentum,0.5000000000000001,0.4666666666666667,2.502495067078773,-0.05403467410936959,524
2000-07-31,momentum,0.6000000000000001,0.5666666666666667,2.4213078431761255,-0.048891063607902324,628
2000-07-31,momentum,0.7000000000000002,0.6666666666666666,2.272000964975826,0.025721923735365228,733
2000-07-31,momentum,0.8000000000000003,0.8666666666666667,2.226697838251216,0.017666012419626002,838
2000-07-31,momentum,0.9000000000000001,0.8666666666666667,2.1067902254749935,0.017666012419626002,943
2000-07-31,momentum,1.0000000000000002,1.0,2.085676631233087,0.00856828903334896,1048
2000-08-31,reversal,0.2,0.3,0.4293349137109811,-0.17270945026540568,210
2000-08-31,reversal,0.30000000000000004,0.5,0.43228144582770534,-0.17180312186383315,315
2000-08-31,reversal,0.4000000000000001,0.6333333333333333,0.3933979280546846,-0.17777552027842283,420
2000-08-31,reversal,0.5000000000000001,0.6666666666666666,0.36555738762766327,-0.21068791944881798,525
2000-08-31,reversal,0.6000000000000001,0.7666666666666667,0.366270031562181,-0.23276433746203692,630
2000-08-31,reversal,0.7000000000000002,0.8666666666666667,0.3515960162767479,-0.23629200336650408,735
2000-08-31,reversal,0.8000000000000003,1.0,0.3481974480788372,-0.2152797959074048,840
2000-08-31,reversal,0.9000000000000001,1.0,0.4180030111776491,-0.2152797959074048,945
2000-08-31,reversal,1.0000000000000002,1.0,0.4409915462811151,-0.2152797959074048,1051
2000-08-31,momentum,0.2,0.26666666666666666,1.4522877392648166,-0.18041337564695697,210
2000-08-31,momentum,0.30000000000000004,0.43333333333333335,1.5857836581016738,-0.20545978888073493,315
2000-08-31,momentum,0.4000000000000001,0.4666666666666667,1.419043476840015,-0.17903559178507025,420
2000-08-31,momentum,0.5000000000000001,0.5,1.3322258986673179,-0.21542278576423027,525
2000-08-31,momentum,0.6000000000000001,0.5666666666666667,1.275381221755396,-0.2734741643058866,630
2000-08-31,momentum,0.7000000000000002,0.6666666666666666,1.2596062123998866,-0.2858080962695711,735
2000-08-31,momentum,0.8000000000000003,0.7,1.1993708168213035,-0.26006139947940815,840
2000-08-31,momentum,0.9000000000000001,0.8666666666666667,1.342381919087346,-0.2551614063446987,945
2000-08-31,momentum,1.0000000000000002,1.0,1.3771255217562695,-0.2555427047592057,1051
2000-09-29,reversal,0.2,0.26666666666666666,0.22939596198140338,-0.2086344876004721,212
2000-09-29,reversal,0.30000000000000004,0.4,0.24322016207008115,-0.2346310513187948,318
2000-09-29,reversal,0.4000000000000001,0.5333333333333333,0.24399467957325144,-0.17859768737949905,424
2000-09-29,reversal,0.5000000000000001,0.6,0.23502571614666684,-0.1502989490533255,530
2000-09-29,reversal,0.6000000000000001,0.6333333333333333,0.22962096023251446,-0.032628711340761486,636
2000-09-29,reversal,0.7000000000000002,0.7333333333333333,0.22944063314266538,-0.04340009268996422,742
2000-09-29,reversal,0.8000000000000003,0.7666666666666667,0.22574246813554125,-0.04751474826093047,848
2000-09-29,reversal,0.9000000000000001,0.9333333333333333,0.22212211315580088,-0.19041311639521646,954
2000-09-29,reversal,1.0000000000000002,1.0,0.215567082337277,-0.19012762559556476,1061
2000-09-29,momentum,0.2,0.26666666666666666,0.8176101377461437,-0.22130975605322642,212
2000-09-29,momentum,0.30000000000000004,0.5666666666666667,0.8039229677932276,-0.27557762879516534,318
2000-09-29,momentum,0.4000000000000001,0.6666666666666666,0.7343469350699403,-0.22339225241924004,424
2000-09-29,momentum,0.5000000000000001,0.7333333333333333,0.6884846198341381,-0.17839506369104122,530
2000-09-29,momentum,0.6000000000000001,0.7666666666666667,0.6464402506520434,-0.19087446262762725,636
2000-09-29,momentum,0.7000000000000002,0.9,0.6831574521797129,-0.16894492463084368,742
2000-09-29,momentum,0.8000000000000003,0.9333333333333333,0.6594940247576123,-0.19103502616837809,848
2000-09-29,momentum,0.9000000000000001,1.0,0.6396935084572061,-0.18831190816876062,954
2000-09-29,momentum,1.0000000000000002,1.0,0.611932824073223,-0.18831190816876062,1061
2000-10-31,reversal,0.2,0.3333333333333333,0.30269216146582656,0.04307491705917048,214
2000-10-31,reversal,0.30000000000000004,0.5666666666666667,0.30787607111257037,0.03823847800990366,321
2000-10-31,reversal,0.4000000000000001,0.5666666666666667,0.28090714230249264,0.03302706927817298,428
2000-10-31,reversal,0.5000000000000001,0.7,0.3292502779764542,0.053954524924385364,535
2000-10-31,reversal,0.6000000000000001,0.7333333333333333,0.34423401854274066,0.04949992674910806,642
2000-10-31,reversal,0.7000000000000002,0.9,0.33305455921458366,0.0346553076437963,749
2000-10-31,reversal,0.8000000000000003,1.0,0.3236610294412536,0.012226073506396354,856
2000-10-31,reversal,0.9000000000000001,1.0,0.31072161179443014,0.012226073506396354,963
2000-10-31,reversal,1.0000000000000002,1.0,0.2994469738855718,0.012226073506396354,1071
2000-10-31,momentum,0.2,0.23333333333333334,0.6283921779244305,-0.10286865903163038,214
2000-10-31,momentum,0.30000000000000004,0.43333333333333335,0.6990594637762331,-0.18908296838610006,321
2000-10-31,momentum,0.4000000000000001,0.43333333333333335,0.6339226537587719,-0.1679953895829597,428
2000-10-31,momentum,0.5000000000000001,0.5,0.5941042559736006,-0.17982249888778842,535
2000-10-31,momentum,0.6000000000000001,0.6,0.7992482982410821,-0.21424030567606073,642
2000-10-31,momentum,0.7000000000000002,0.7333333333333333,0.7567775644173729,-0.1652000919105013,749
2000-10-31,momentum,0.8000000000000003,0.8,0.7208229229940973,-0.16594670433193556,856
