bucket,months,mean_rank_ic_12m,mean_next_12m,mean_n
1,192,0.057394838385791486,0.2868910232331463,14.9375
2,192,0.03979909660177426,0.16991182502398441,14.213541666666666
3,192,0.07993653485231188,0.26996045254356704,14.59375
