attention_event,observations,mean_next_1m,median_next_1m,mean_news_sent
normal,7860,0.019275994299851714,0.006231393833754706,0.10993621412404929
quiet,441,0.008490457075331807,0.002159827213822796,0.08629065926097364
surge,98,0.035727216946892446,0.029719623703679976,0.13889900097115485
