failure_coherence,size,mean,split
0,123,0.03138902933822309,train
1,21,-0.029084639832339755,train
2,14,-0.06050032993622526,train
4,3,-0.16620078785498196,train
0,87,0.03245250503177281,test
1,42,0.0010244508634202735,test
2,15,-0.05948487925352934,test
3,2,-0.07413343041316921,test
4,2,-0.11683426851497154,test
