test,date,bucket,rank_ic_12m,mean_next_12m,n
attention_vs_momentum_ic,2000-06-30,1,-0.21666666666666667,0.0006821060612686539,9
attention_vs_momentum_ic,2000-06-30,2,0.38333333333333336,0.0009756394093124824,9
attention_vs_momentum_ic,2000-06-30,3,0.049999999999999996,-0.10313584858063654,9
attention_vs_momentum_ic,2000-07-31,1,0.06666666666666667,-0.11721313054898348,9
attention_vs_momentum_ic,2000-07-31,2,0.261904761904762,-0.17269665995273703,8
attention_vs_momentum_ic,2000-07-31,3,0.6333333333333333,-0.05774391910592999,9
attention_vs_momentum_ic,2000-08-31,1,0.21666666666666667,-0.22853280522925573,9
attention_vs_momentum_ic,2000-08-31,2,0.5952380952380953,-0.17645763162388123,8
attention_vs_momentum_ic,2000-08-31,3,0.5,-0.00918942123983905,9
attention_vs_momentum_ic,2000-10-31,1,0.049999999999999996,-0.057886985012714116,9
attention_vs_momentum_ic,2000-10-31,2,0.7333333333333334,-0.12402429992263578,9
attention_vs_momentum_ic,2000-10-31,3,0.7,0.35830583602914545,9
attention_vs_momentum_ic,2000-11-30,1,0.3666666666666667,0.1267192825331932,9
attention_vs_momentum_ic,2000-11-30,2,0.5333333333333333,0.23088324357025908,9
attention_vs_momentum_ic,2000-11-30,3,0.41666666666666663,0.4924343923991273,9
attention_vs_momentum_ic,2001-01-31,1,0.38181818181818183,0.15291398657493147,10
attention_vs_momentum_ic,2001-01-31,2,0.25,0.11488921895598375,9
attention_vs_momentum_ic,2001-01-31,3,0.18333333333333335,0.31692359169105655,9
attention_vs_momentum_ic,2001-02-28,1,0.03333333333333333,0.3825094746025054,9
attention_vs_momentum_ic,2001-02-28,2,0.5000000000000001,0.3449454995558857,8
attention_vs_momentum_ic,2001-02-28,3,0.016666666666666666,0.48147642453167067,9
attention_vs_momentum_ic,2001-04-30,1,-0.06666666666666667,1.614694330435457,9
attention_vs_momentum_ic,2001-04-30,2,0.5499999999999999,0.7907785555287307,9
attention_vs_momentum_ic,2001-04-30,3,0.33333333333333337,0.4156622912182568,9
attention_vs_momentum_ic,2001-05-31,1,0.10303030303030303,1.0945379833953388,10
attention_vs_momentum_ic,2001-05-31,2,0.06666666666666667,0.258889646506286,9
attention_vs_momentum_ic,2001-05-31,3,0.5666666666666667,0.24128057240322587,9
attention_vs_momentum_ic,2001-07-31,1,-0.23636363636363633,1.172182373535623,10
attention_vs_momentum_ic,2001-07-31,2,0.08333333333333334,0.5454566655051598,9
attention_vs_momentum_ic,2001-07-31,3,-0.06666666666666667,0.06580098504123184,9
attention_vs_momentum_ic,2001-08-31,1,-0.11515151515151514,1.183312681375421,10
attention_vs_momentum_ic,2001-08-31,2,0.21666666666666667,0.40014019737402085,9
attention_vs_momentum_ic,2001-08-31,3,-0.01818181818181818,0.38169690899135433,10
attention_vs_momentum_ic,2001-10-31,1,0.309090909090909,1.1708290278210856,10
attention_vs_momentum_ic,2001-10-31,2,0.0,0.5249987673421087,9
attention_vs_momentum_ic,2001-10-31,3,0.18787878787878787,0.24296945290206864,10
attention_vs_momentum_ic,2001-11-30,1,0.5393939393939393,0.9983645784734874,10
attention_vs_momentum_ic,2001-11-30,2,0.6,0.2755174864383199,10
attention_vs_momentum_ic,2001-11-30,3,0.04242424242424241,0.17956705973594153,10
attention_vs_momentum_ic,2002-01-31,1,-0.09118583155200968,0.7489364546877691,10
attention_vs_momentum_ic,2002-01-31,2,-0.09090909090909088,-0.28080166645669713,10
attention_vs_momentum_ic,2002-01-31,3,0.11515151515151514,-0.07492957613890128,10
attention_vs_momentum_ic,2002-02-28,1,-0.19090909090909092,0.4476857046153317,11
attention_vs_momentum_ic,2002-02-28,2,0.1515151515151515,-0.2748181509669237,10
attention_vs_momentum_ic,2002-02-28,3,0.0303030303030303,-0.18912166575776085,10
attention_vs_momentum_ic,2002-04-30,1,0.21666666666666667,-0.3676465790948862,9
attention_vs_momentum_ic,2002-04-30,2,-0.39999999999999997,-0.2757462518883179,9
attention_vs_momentum_ic,2002-04-30,3,-0.06666666666666667,-0.20721914620574797,9
attention_vs_momentum_ic,2002-05-31,1,0.28484848484848485,-0.192980567405758,10
attention_vs_momentum_ic,2002-05-31,2,-0.33333333333333326,-0.22662808120287306,10
attention_vs_momentum_ic,2002-05-31,3,-0.12727272727272726,-0.1272633786651805,10
attention_vs_momentum_ic,2002-07-31,1,0.46363636363636374,-0.019311723661636096,11
attention_vs_momentum_ic,2002-07-31,2,-0.41818181818181815,-0.04095372807525629,10
attention_vs_momentum_ic,2002-07-31,3,0.34545454545454546,0.0733840491498647,10
attention_vs_momentum_ic,2002-09-30,1,-0.05454545454545456,0.03515508403380043,11
attention_vs_momentum_ic,2002-09-30,2,0.2727272727272727,0.19029395567646273,10
attention_vs_momentum_ic,2002-09-30,3,-0.6606060606060605,0.3739205553440502,10
attention_vs_momentum_ic,2002-10-31,1,-0.05454545454545456,0.05364908613928268,11
attention_vs_momentum_ic,2002-10-31,2,-0.07878787878787878,0.24730132692987955,10
attention_vs_momentum_ic,2002-10-31,3,-0.5151515151515151,0.7217033104373367,10
attention_vs_momentum_ic,2003-02-28,1,0.22424242424242422,0.5149352923445267,10
attention_vs_momentum_ic,2003-02-28,2,0.18333333333333335,0.6340993527408227,9
attention_vs_momentum_ic,2003-02-28,3,-0.35757575757575755,1.1154762871917212,10
attention_vs_momentum_ic,2003-03-31,1,0.02727272727272728,0.8349509577146403,11
attention_vs_momentum_ic,2003-03-31,2,-0.11515151515151514,0.7340998315903315,10
attention_vs_momentum_ic,2003-03-31,3,-0.17575757575757575,1.019752649036477,10
attention_vs_momentum_ic,2003-04-30,1,-0.19090909090909092,0.8204217049154333,11
attention_vs_momentum_ic,2003-04-30,2,-0.5757575757575757,0.38934477638385934,10
attention_vs_momentum_ic,2003-04-30,3,-0.24848484848484845,0.5815028506006431,10
