endpoint_convention,months,terminal_unpriced_holdings,net_cagr,t_stat,mdd
neutral_cash_at_last_price,318,436,0.38729534056920967,5.79176030027646,-0.49062822445323706
total_loss_at_unpriced_endpoint,318,436,-1.0,0.8206837787540506,-1.000500054939294
