failure_coherence,size,mean,median
0,219,0.031829612125550855,0.02943631945030708
1,63,-0.009011912701833085,-0.01302932796900417
2,29,-0.05997509682448602,-0.057702435643174614
3,2,-0.07413343041316921,-0.07413343041316921
4,5,-0.14645418011897787,-0.11777748570200465
