date,ticker
1999-12-28,007720
1999-12-28,007110
1999-12-28,000840
1999-12-28,001350
1999-12-28,013360
1999-12-28,028300
1999-12-28,004530
1999-12-28,003660
1999-12-28,008320
1999-12-28,005410
1999-12-28,018410
1999-12-28,009310
1999-12-28,003570
1999-12-28,013310
1999-12-28,017050
1999-12-28,009380
1999-12-28,008900
1999-12-28,018700
1999-12-28,017620
1999-12-28,005580
1999-12-28,020070
1999-12-28,005010
1999-12-28,005760
1999-12-28,004960
1999-12-28,001780
1999-12-28,021880
1999-12-28,001670
1999-12-28,003900
1999-12-28,011150
1999-12-28,002050
1999-12-28,017120
1999-12-28,032860
1999-12-28,004730
1999-12-28,005450
1999-12-28,006280
1999-12-28,001600
1999-12-28,014990
1999-12-28,011840
1999-12-28,003930
1999-12-28,005420
1999-12-28,015670
1999-12-28,019260
1999-12-28,024080
1999-12-28,011720
1999-12-28,019430
1999-12-28,018890
1999-12-28,033190
1999-12-28,012170
1999-12-28,013720
1999-12-28,015540
2000-01-31,000840
2000-01-31,002940
2000-01-31,001350
2000-01-31,026240
2000-01-31,006210
2000-01-31,028300
2000-01-31,013320
2000-01-31,022770
2000-01-31,017040
2000-01-31,004530
2000-01-31,018720
2000-01-31,013360
2000-01-31,012010
2000-01-31,009010
2000-01-31,008320
2000-01-31,017160
2000-01-31,017090
2000-01-31,005410
2000-01-31,003660
2000-01-31,013850
2000-01-31,009380
2000-01-31,027610
2000-01-31,005580
2000-01-31,001780
2000-01-31,008900
2000-01-31,011150
2000-01-31,010810
2000-01-31,020070
2000-01-31,009310
2000-01-31,018410
2000-01-31,014090
2000-01-31,003570
2000-01-31,004960
2000-01-31,022510
2000-01-31,003900
2000-01-31,017120
2000-01-31,001670
2000-01-31,006280
2000-01-31,002050
2000-01-31,017050
2000-01-31,003930
2000-01-31,017620
2000-01-31,021880
2000-01-31,019430
2000-01-31,004820
2000-01-31,005450
2000-01-31,005760
2000-01-31,018700
2000-01-31,015540
2000-01-31,005610
2000-02-29,000840
2000-02-29,017740
2000-02-29,013360
2000-02-29,026240
2000-02-29,006210
2000-02-29,017040
2000-02-29,028300
2000-02-29,005410
2000-02-29,004530
2000-02-29,008320
2000-02-29,003660
2000-02-29,011840
2000-02-29,022770
2000-02-29,009380
2000-02-29,017090
2000-02-29,013320
2000-02-29,009010
2000-02-29,013310
2000-02-29,009310
2000-02-29,017160
2000-02-29,008900
2000-02-29,003570
2000-02-29,027610
2000-02-29,012010
2000-02-29,017120
2000-02-29,011150
2000-02-29,005760
2000-02-29,018410
2000-02-29,004960
2000-02-29,005580
2000-02-29,002050
2000-02-29,005610
2000-02-29,003930
2000-02-29,013850
2000-02-29,012170
2000-02-29,011720
2000-02-29,001670
2000-02-29,020070
2000-02-29,005450
2000-02-29,005420
2000-02-29,003900
2000-02-29,018720
2000-02-29,001600
2000-02-29,015670
2000-02-29,006280
2000-02-29,015540
2000-02-29,002360
2000-02-29,019260
2000-02-29,010810
2000-02-29,023760
2000-03-31,006210
2000-03-31,001350
2000-03-31,003660
2000-03-31,005410
2000-03-31,008320
2000-03-31,022770
2000-03-31,017740
2000-03-31,004530
2000-03-31,017040
2000-03-31,018410
2000-03-31,009380
2000-03-31,018720
2000-03-31,005580
2000-03-31,003570
2000-03-31,017160
2000-03-31,004960
2000-03-31,005760
2000-03-31,003930
2000-03-31,001670
2000-03-31,017120
2000-03-31,013850
2000-03-31,002050
2000-03-31,011150
2000-03-31,017090
2000-03-31,003900
2000-03-31,012170
2000-03-31,011840
2000-03-31,001600
2000-03-31,005450
2000-03-31,010810
2000-03-31,011720
2000-03-31,005610
2000-03-31,015670
2000-03-31,008900
2000-03-31,012010
2000-03-31,013310
2000-03-31,022510
2000-03-31,027610
2000-03-31,002360
2000-03-31,024920
2000-03-31,014280
2000-03-31,006280
2000-03-31,002880
2000-03-31,003020
2000-03-31,003060
2000-03-31,014080
2000-03-31,012250
2000-03-31,004230
2000-03-31,004060
2000-03-31,001360
2000-04-28,017740
2000-04-28,006210
2000-04-28,022770
2000-04-28,013360
2000-04-28,013850
2000-04-28,000790
2000-04-28,010810
2000-04-28,013320
2000-04-28,012010
2000-04-28,018720
2000-04-28,008320
2000-04-28,004530
2000-04-28,018410
2000-04-28,013310
2000-04-28,027610
2000-04-28,003660
2000-04-28,005410
2000-04-28,022510
2000-04-28,003020
2000-04-28,025150
2000-04-28,004960
2000-04-28,024920
2000-04-28,003570
2000-04-28,002050
2000-04-28,008900
2000-04-28,011720
2000-04-28,009380
2000-04-28,017120
2000-04-28,005450
2000-04-28,003900
