held_out_block,selected_on_other_blocks,months,net_cagr,t_stat,mdd
2000_2004,small_cap|p0.9|n50|a100000000|c0.5,53,0.4964539805199075,2.164306671438999,-0.24326961028274152
2005_2009,small_cap|p0.9|n50|a100000000|c0.5,60,0.5820712134220156,2.9783472812217844,-0.4138516899853417
2010_2014,small_cap|p0.9|n50|a100000000|c0.5,60,0.18455907985140074,1.8052081262591753,-0.27544867159034614
2015_2019,small_cap|p0.9|n50|a100000000|c0.5,60,0.6999273432279454,4.550862341429472,-0.20351860055902937
2020_2026,small_cap|p0.9|n50|a100000000|c0.5,77,0.2534454877831527,2.7838581357486043,-0.16490869943438358
