formation_date,ticker,threshold,triggered,stop_return,hold_return
1999-12-28,007720,0.1,True,-0.2184430360284948,-0.5291354186241181
1999-12-28,007720,0.2,True,-0.3106752993832961,-0.5291354186241181
1999-12-28,007720,0.3,True,-0.22816338384269774,-0.5291354186241181
1999-12-28,007110,0.1,False,0.16919191919191912,0.16919191919191912
1999-12-28,007110,0.2,False,0.16919191919191912,0.16919191919191912
1999-12-28,007110,0.3,False,0.16919191919191912,0.16919191919191912
1999-12-28,000840,0.1,True,-0.020408163265306145,-0.1428571428571429
1999-12-28,000840,0.2,True,-0.20408163265306123,-0.1428571428571429
1999-12-28,000840,0.3,False,-0.1428571428571429,-0.1428571428571429
1999-12-28,001350,0.1,False,0.06944444444444442,0.06944444444444442
1999-12-28,001350,0.2,False,0.06944444444444442,0.06944444444444442
1999-12-28,001350,0.3,False,0.06944444444444442,0.06944444444444442
1999-12-28,013360,0.1,False,0.6000000000000001,0.6000000000000001
1999-12-28,013360,0.2,False,0.6000000000000001,0.6000000000000001
1999-12-28,013360,0.3,False,0.6000000000000001,0.6000000000000001
1999-12-28,028300,0.1,True,-0.023809494770863138,0.14285696862517905
1999-12-28,028300,0.2,True,-0.1309522212397476,0.14285696862517905
1999-12-28,028300,0.3,False,0.14285696862517905,0.14285696862517905
1999-12-28,004530,0.1,True,0.0,-0.04724214692060347
1999-12-28,004530,0.2,False,-0.04724214692060347,-0.04724214692060347
1999-12-28,004530,0.3,False,-0.04724214692060347,-0.04724214692060347
1999-12-28,003660,0.1,False,0.1813643926788686,0.1813643926788686
1999-12-28,003660,0.2,False,0.1813643926788686,0.1813643926788686
1999-12-28,003660,0.3,False,0.1813643926788686,0.1813643926788686
1999-12-28,008320,0.1,True,-0.08340902210112022,0.058280351195882485
1999-12-28,008320,0.2,False,0.058280351195882485,0.058280351195882485
1999-12-28,008320,0.3,False,0.058280351195882485,0.058280351195882485
1999-12-28,005410,0.1,True,-0.08571428571428574,0.014285714285714235
1999-12-28,005410,0.2,True,-0.18571428571428572,0.014285714285714235
1999-12-28,005410,0.3,False,0.014285714285714235,0.014285714285714235
1999-12-28,018410,0.1,False,0.814662399024539,0.814662399024539
1999-12-28,018410,0.2,False,0.814662399024539,0.814662399024539
1999-12-28,018410,0.3,False,0.814662399024539,0.814662399024539
1999-12-28,009310,0.1,True,-0.06896548589774087,-0.5689655995184301
1999-12-28,009310,0.2,True,-0.3965516575326995,-0.5689655995184301
1999-12-28,009310,0.3,True,-0.4827586285255647,-0.5689655995184301
1999-12-28,003570,0.1,False,0.4471873345844761,0.4471873345844761
1999-12-28,003570,0.2,False,0.4471873345844761,0.4471873345844761
1999-12-28,003570,0.3,False,0.4471873345844761,0.4471873345844761
1999-12-28,013310,0.1,True,-0.019077901430842648,-0.2580816110227875
1999-12-28,013310,0.2,True,-0.33545310015898255,-0.2580816110227875
1999-12-28,013310,0.3,True,-0.2580816110227875,-0.2580816110227875
1999-12-28,017050,0.1,False,0.49836322231710795,0.49836322231710795
1999-12-28,017050,0.2,False,0.49836322231710795,0.49836322231710795
1999-12-28,017050,0.3,False,0.49836322231710795,0.49836322231710795
1999-12-28,009380,0.1,True,-0.033320266562132494,-0.13055337776035547
1999-12-28,009380,0.2,False,-0.13055337776035547,-0.13055337776035547
1999-12-28,009380,0.3,False,-0.13055337776035547,-0.13055337776035547
1999-12-28,008900,0.1,False,-0.019601100412654726,-0.019601100412654726
1999-12-28,008900,0.2,False,-0.019601100412654726,-0.019601100412654726
1999-12-28,008900,0.3,False,-0.019601100412654726,-0.019601100412654726
1999-12-28,018700,0.1,True,-0.08055325688615678,0.46979548409977534
1999-12-28,018700,0.2,True,-0.21477716042085349,0.46979548409977534
1999-12-28,018700,0.3,True,-0.24161248374512356,0.46979548409977534
1999-12-28,017620,0.1,False,0.30000000000000004,0.30000000000000004
1999-12-28,017620,0.2,False,0.30000000000000004,0.30000000000000004
1999-12-28,017620,0.3,False,0.30000000000000004,0.30000000000000004
1999-12-28,005580,0.1,True,-0.01388888888888884,-0.11111111111111116
1999-12-28,005580,0.2,False,-0.11111111111111116,-0.11111111111111116
1999-12-28,005580,0.3,False,-0.11111111111111116,-0.11111111111111116
1999-12-28,020070,0.1,True,-0.23076923076923073,0.02051282051282044
1999-12-28,020070,0.2,True,-0.2564102564102564,0.02051282051282044
1999-12-28,020070,0.3,True,-0.40512820512820513,0.02051282051282044
1999-12-28,005010,0.1,True,0.013698630136986356,0.09589041095890405
1999-12-28,005010,0.2,False,0.09589041095890405,0.09589041095890405
