key,signal,universe_pct,holdings,aum_krw,cost_multiplier,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust,reality_check_p
small_cap|p0.9|n50|a100000000|c0.5,small_cap,0.9000000000000001,50,100000000.0,0.5,309,0.4305808038682028,-0.4929351595060285,6.074238306495262,1.2457761489059747e-09,0.97623457826098,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c1.0,small_cap,0.9000000000000001,50,100000000.0,1.0,309,0.4238188170889398,-0.4992170503814724,6.00425935715497,1.9220725011592772e-09,0.97623457826098,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c1.5,small_cap,0.9000000000000001,50,100000000.0,1.5,309,0.4170860046212683,-0.5054242360554904,5.934278679237305,2.9514015675857763e-09,0.97623457826098,True,0.000999000999000999
small_cap|p0.9|n50|a100000000|c2.0,small_cap,0.9000000000000001,50,100000000.0,2.0,309,0.4103822525291452,-0.511557567847643,5.864296407774692,4.510411377722789e-09,0.97623457826098,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c0.5,small_cap,0.8000000000000003,50,100000000.0,0.5,309,0.374138501298304,-0.5098098590994309,5.256493851632823,1.46827682900863e-07,0.9969714813509016,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c1.0,small_cap,0.8000000000000003,50,100000000.0,1.0,309,0.3692398100022529,-0.510616707865898,5.207336675130963,1.9157032493666293e-07,0.9969714813509016,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c1.5,small_cap,0.8000000000000003,50,100000000.0,1.5,309,0.3643570310382453,-0.5114226800946313,5.158175881673517,2.4936732168079345e-07,0.9969714813509016,True,0.000999000999000999
small_cap|p0.8|n50|a100000000|c2.0,small_cap,0.8000000000000003,50,100000000.0,2.0,309,0.359490117692981,-0.5122277762578157,5.1090115338198485,3.238485861700724e-07,0.9969714813509016,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c0.5,small_cap,0.8000000000000003,50,1000000000.0,0.5,309,0.2740175222168062,-0.4853388919500947,4.927322592821654,8.336405641351519e-07,0.8279810156274465,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c1.0,small_cap,0.8000000000000003,50,1000000000.0,1.0,309,0.2657630189716264,-0.4951575481502175,4.813817141900798,1.4807430890328988e-06,0.8279810156274465,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c1.5,small_cap,0.8000000000000003,50,1000000000.0,1.5,309,0.2575573818332082,-0.5047938193479771,4.7003088867108485,2.5976826543150366e-06,0.8279810156274465,True,0.000999000999000999
small_cap|p0.8|n50|a1000000000|c2.0,small_cap,0.8000000000000003,50,1000000000.0,2.0,309,0.2494003486873541,-0.5161826264820948,4.586798340513388,4.5009504945348056e-06,0.8279810156274465,True,0.000999000999000999
low_volatility|p0.9|n30|a100000000|c0.5,low_volatility,0.9000000000000001,30,100000000.0,0.5,309,0.0737433478961528,-0.3749746529009615,2.911917911409444,0.0035921702454773,0.8934752554016026,True,0.1108891108891109
low_volatility|p0.9|n50|a100000000|c0.5,low_volatility,0.9000000000000001,50,100000000.0,0.5,309,0.0783906659776645,-0.4402196940440751,2.8985354871708675,0.0037490987914137,0.9448106303075976,True,0.11288711288711288
low_volatility|p0.8|n20|a100000000|c0.5,low_volatility,0.8000000000000003,20,100000000.0,0.5,309,0.0799729995737466,-0.4082580298732396,2.824399929836204,0.004736923762227,0.9466484836848512,True,0.12187812187812187
low_volatility|p0.8|n50|a100000000|c0.5,low_volatility,0.8000000000000003,50,100000000.0,0.5,309,0.0830371084297587,-0.5130382579218506,2.788833350724844,0.0052898277001762,0.9889827272651408,True,0.13086913086913088
low_volatility|p0.9|n50|a100000000|c1.0,low_volatility,0.9000000000000001,50,100000000.0,1.0,309,0.0722473670492669,-0.4449186899879915,2.708145076966493,0.0067660438526295,0.9448106303075976,True,0.15184815184815184
low_volatility|p0.8|n30|a100000000|c0.5,low_volatility,0.8000000000000003,30,100000000.0,0.5,309,0.0756497579060795,-0.4622055112900421,2.681596791655946,0.0073271714383551,0.972906479182,True,0.15684315684315683
low_volatility|p0.9|n30|a100000000|c1.0,low_volatility,0.9000000000000001,30,100000000.0,1.0,309,0.0666878887996886,-0.3802457177834785,2.6745640381552787,0.0074826484054815,0.8934752554016026,True,0.15684315684315683
