test,date,bucket,mean_return,n
price_level_vs_future_1m,2001-02-28 00:00:00,3,-0.10368050752226106,243
price_level_vs_future_1m,2001-02-28 00:00:00,4,-0.09224524302749755,243
price_level_vs_future_1m,2001-02-28 00:00:00,5,-0.11051342928411763,243
price_level_vs_future_1m,2001-03-30 00:00:00,1,0.05253029733218531,243
price_level_vs_future_1m,2001-03-30 00:00:00,2,0.06507870265242614,243
price_level_vs_future_1m,2001-03-30 00:00:00,3,0.06529602973540824,242
price_level_vs_future_1m,2001-03-30 00:00:00,4,0.06310245241476083,243
price_level_vs_future_1m,2001-03-30 00:00:00,5,0.09192854966402338,243
price_level_vs_future_1m,2001-04-30 00:00:00,1,0.1354490496352611,243
price_level_vs_future_1m,2001-04-30 00:00:00,2,0.1358495015631635,242
price_level_vs_future_1m,2001-04-30 00:00:00,3,0.11243145381233252,242
price_level_vs_future_1m,2001-04-30 00:00:00,4,0.13652076241018346,242
price_level_vs_future_1m,2001-04-30 00:00:00,5,0.11155009122552066,243
price_level_vs_future_1m,2001-05-31 00:00:00,1,0.013312927836591354,245
price_level_vs_future_1m,2001-05-31 00:00:00,2,-0.006059374162276195,245
price_level_vs_future_1m,2001-05-31 00:00:00,3,-0.016239884356774197,244
price_level_vs_future_1m,2001-05-31 00:00:00,4,-0.019526682309039055,245
price_level_vs_future_1m,2001-05-31 00:00:00,5,-0.03350524302190452,245
price_level_vs_future_1m,2001-06-29 00:00:00,1,-0.036593298761005214,246
price_level_vs_future_1m,2001-06-29 00:00:00,2,-0.127261536660229,247
price_level_vs_future_1m,2001-06-29 00:00:00,3,-0.1292366043921255,244
price_level_vs_future_1m,2001-06-29 00:00:00,4,-0.1203974762315844,246
price_level_vs_future_1m,2001-06-29 00:00:00,5,-0.1436977303448272,246
price_level_vs_future_1m,2001-07-31 00:00:00,1,-0.03939385341973162,251
price_level_vs_future_1m,2001-07-31 00:00:00,2,-0.058632675753569,250
price_level_vs_future_1m,2001-07-31 00:00:00,3,-0.06768401003929497,250
price_level_vs_future_1m,2001-07-31 00:00:00,4,-0.04027998953585859,250
price_level_vs_future_1m,2001-07-31 00:00:00,5,-0.08668921198264204,251
price_level_vs_future_1m,2001-08-31 00:00:00,1,-0.15808968279853353,255
