date,variant,net_return,holdings,excluded_suspended
2004-03-31,suspension_screened,0.15701839507734622,50,35
2004-04-30,unfiltered,-0.05290673875975216,50,23
2004-04-30,suspension_screened,-0.04478753668794175,50,23
2004-05-31,unfiltered,0.09423998423685459,50,8
2004-05-31,suspension_screened,0.06739274423517619,50,8
2004-06-30,unfiltered,-0.1323452024242012,50,7
2004-06-30,suspension_screened,-0.13322000363547706,50,7
2004-07-30,unfiltered,0.030328153817174863,50,6
2004-07-30,suspension_screened,0.0375993180541395,50,6
2004-08-31,unfiltered,0.002620782979453666,50,7
2004-08-31,suspension_screened,-0.001170571340796141,50,7
2004-09-30,unfiltered,0.038653503342324404,50,16
2004-09-30,suspension_screened,0.07216198588474806,50,16
2004-10-29,unfiltered,0.2319895678448198,50,6
2004-10-29,suspension_screened,0.2322774732048464,50,6
2004-11-30,unfiltered,-0.020508526326046286,50,10
2004-11-30,suspension_screened,-0.014483507186299104,50,10
2004-12-30,unfiltered,0.4085496765748384,50,9
2004-12-30,suspension_screened,0.4071877454345707,50,9
2005-01-31,unfiltered,0.11150034896882523,50,5
2005-01-31,suspension_screened,0.10265735001629181,50,5
2005-02-28,unfiltered,-0.1529764612113247,50,23
2005-02-28,suspension_screened,-0.07799849131797744,50,23
2005-03-31,unfiltered,0.09466958749440003,50,15
2005-03-31,suspension_screened,0.09395008828097377,50,15
2005-04-29,unfiltered,0.27456117238301225,50,14
2005-04-29,suspension_screened,0.30587904209995037,50,14
2005-05-31,unfiltered,0.3379050155354738,50,10
2005-05-31,suspension_screened,0.32622303009571957,50,10
2005-06-30,unfiltered,0.15680360536120821,50,7
2005-06-30,suspension_screened,0.18085197587234092,50,7
2005-07-29,unfiltered,-0.05000543316337917,50,8
2005-07-29,suspension_screened,-0.04739717955919641,50,8
2005-08-31,unfiltered,0.14214247778945058,50,4
2005-08-31,suspension_screened,0.14214247778945058,50,4
2005-09-30,unfiltered,0.21699390825315268,50,6
2005-09-30,suspension_screened,0.21921418264371242,50,6
2005-10-31,unfiltered,0.2978444281359161,50,10
2005-10-31,suspension_screened,0.3078069951854164,50,10
2005-11-30,unfiltered,0.10884441256064653,50,12
2005-11-30,suspension_screened,0.10144253070488449,50,12
2005-12-29,unfiltered,0.10919096996518558,50,8
2005-12-29,suspension_screened,0.08025811947489268,50,8
2006-01-31,unfiltered,0.07498873978635505,50,1
2006-01-31,suspension_screened,0.05377130915589917,50,1
2006-02-28,unfiltered,0.11073164866352751,50,19
2006-02-28,suspension_screened,0.10069480051786878,50,19
2006-03-31,unfiltered,0.1504981167822552,50,10
2006-03-31,suspension_screened,0.11159909641412064,50,10
2006-04-28,unfiltered,-0.07736583593041887,50,24
2006-04-28,suspension_screened,-0.0699234254613107,50,24
2006-05-30,unfiltered,-0.0310018860593552,50,5
2006-05-30,suspension_screened,-0.028466286687819826,50,5
2006-06-30,unfiltered,-0.0028997398303500952,50,8
2006-06-30,suspension_screened,-0.0033777736403403573,50,8
2006-07-31,unfiltered,0.06593229735714899,50,11
2006-07-31,suspension_screened,0.0728967005031055,50,11
2006-08-31,unfiltered,0.1466987219259113,50,7
2006-08-31,suspension_screened,0.10753034426439664,50,7
2006-09-29,unfiltered,0.03840767580324796,50,9
2006-09-29,suspension_screened,0.03840767580324796,50,9
2006-10-31,unfiltered,0.06887458086189048,50,5
2006-10-31,suspension_screened,0.06887458086189048,50,5
2006-11-30,unfiltered,-0.05849388178368894,50,8
2006-11-30,suspension_screened,-0.056120664362179905,50,8
2006-12-28,unfiltered,0.0564654350564743,50,7
2006-12-28,suspension_screened,0.0564654350564743,50,7
2007-01-31,unfiltered,0.050644685124359545,50,5
2007-01-31,suspension_screened,0.050644685124359545,50,5
2007-02-28,unfiltered,0.26140570877731334,50,24
2007-02-28,suspension_screened,0.3095657832439045,50,24
2007-03-30,unfiltered,0.031249370391855165,50,14
2007-03-30,suspension_screened,0.026614603920530003,50,14
2007-04-30,unfiltered,0.15752155594974954,50,25
2007-04-30,suspension_screened,0.17145708388259498,50,25
2007-05-31,unfiltered,0.017548782187143896,50,6
2007-05-31,suspension_screened,0.017548782187143896,50,6
2007-06-29,unfiltered,-0.01676853502916925,50,14
2007-06-29,suspension_screened,-0.019791563700406245,50,14
2007-07-31,unfiltered,0.029070950779189725,50,13
2007-07-31,suspension_screened,0.0322256965073593,50,13
2007-08-31,unfiltered,0.000955751172418173,50,6
2007-08-31,suspension_screened,0.000955751172418173,50,6
2007-09-28,unfiltered,-0.08423490112810698,50,13
2007-09-28,suspension_screened,-0.08322303604704348,50,13
2007-10-31,unfiltered,-0.062346651354291634,50,3
2007-10-31,suspension_screened,-0.06493097368198635,50,3
2007-11-30,unfiltered,-0.020143802682347473,50,14
2007-11-30,suspension_screened,-0.006419642501580917,50,14
2007-12-28,unfiltered,0.08037927473710718,50,15
2007-12-28,suspension_screened,0.08133875017285974,50,15
2008-01-31,unfiltered,0.08256456545853595,50,7
2008-01-31,suspension_screened,0.0831486672616441,50,7
2008-02-29,unfiltered,-0.06848108528316665,50,18
2008-02-29,suspension_screened,-0.06049518941707779,50,18
2008-03-31,unfiltered,0.022683971998818657,50,21
2008-03-31,suspension_screened,0.07349931134781039,50,21
2008-04-30,unfiltered,0.09759027504922622,50,51
2008-04-30,suspension_screened,0.08921243785253151,50,51
2008-05-30,unfiltered,-0.0173072736255915,50,13
2008-05-30,suspension_screened,-0.008786636593115536,50,13
2008-06-30,unfiltered,0.05775006482934386,50,17
2008-06-30,suspension_screened,0.07069176060744015,50,17
2008-07-31,unfiltered,-0.1174711121956464,50,5
2008-07-31,suspension_screened,-0.14235598148577353,50,5
2008-08-29,unfiltered,-0.06253224789744438,50,8
2008-08-29,suspension_screened,-0.06971314879900012,50,8
2008-09-30,unfiltered,-0.28950973280436165,50,16
2008-09-30,suspension_screened,-0.3110600246881751,50,16
2008-10-31,unfiltered,0.07682365957601225,50,11
2008-10-31,suspension_screened,0.07682365957601225,50,11
2008-11-28,unfiltered,-0.0023692330530043324,50,8
2008-11-28,suspension_screened,0.010531636657843327,50,8
2008-12-30,unfiltered,0.041658696636988,50,29
2008-12-30,suspension_screened,0.0468897658165007,50,29
2009-01-30,unfiltered,0.2655951840013369,50,16
2009-01-30,suspension_screened,0.31652868839887865,50,16
2009-02-27,unfiltered,-0.06040880962665661,50,23
2009-02-27,suspension_screened,-0.037651695262517146,50,23
2009-03-31,unfiltered,0.26275288336309083,50,49
2009-03-31,suspension_screened,0.28006261749976497,50,49
2009-04-30,unfiltered,0.17779718102874573,50,21
2009-04-30,suspension_screened,0.18801720779813022,50,21
2009-05-29,unfiltered,0.018394231405875164,50,8
2009-05-29,suspension_screened,0.014114786157774202,50,8
2009-06-30,unfiltered,0.0044402538022000225,50,23
2009-06-30,suspension_screened,0.05061799142705122,50,23
2009-07-31,unfiltered,0.024653546290935857,50,6
2009-07-31,suspension_screened,0.02400135655630896,50,6
2009-08-31,unfiltered,-0.06580236043899043,50,16
2009-08-31,suspension_screened,-0.03721277574895125,50,16
2009-09-30,unfiltered,-0.08497069848912979,50,15
2009-09-30,suspension_screened,-0.08645389675504804,50,15
2009-10-30,unfiltered,-0.028589279570798317,50,9
2009-10-30,suspension_screened,-0.02102656953937289,50,9
2009-11-30,unfiltered,-0.03883394865373192,50,16
2009-11-30,suspension_screened,-0.04024578410402287,50,16
2009-12-30,unfiltered,-0.10433974393788165,50,23
2009-12-30,suspension_screened,-0.06676158482722797,50,23
2010-01-29,unfiltered,0.004535328264834208,50,9
2010-01-29,suspension_screened,0.0022291220392680255,50,9
2010-02-26,unfiltered,-0.041442019963671514,50,14
2010-02-26,suspension_screened,-0.008320027129314117,50,14
2010-03-31,unfiltered,-0.16128720342498648,50,34
2010-03-31,suspension_screened,0.01314015586142831,50,34
2010-04-30,unfiltered,-0.0853543836346007,50,29
2010-04-30,suspension_screened,-0.08018207820094665,50,29
2010-05-31,unfiltered,0.04223541138270338,50,5
2010-05-31,suspension_screened,0.04640973675200325,50,5
2010-06-30,unfiltered,0.041644932662627795,50,14
2010-06-30,suspension_screened,0.058811435859450055,50,14
2010-07-30,unfiltered,-0.020120116268262923,50,6
2010-07-30,suspension_screened,-0.021558563255805088,50,6
2010-08-31,unfiltered,0.03782088561536122,50,9
2010-08-31,suspension_screened,0.039533031280649604,50,9
2010-09-30,unfiltered,0.03835308310763283,50,11
2010-09-30,suspension_screened,0.04020657760875787,50,11
2010-10-29,unfiltered,-0.011174492739002955,50,13
2010-10-29,suspension_screened,-0.010530115525042167,50,13
2010-11-30,unfiltered,-0.010226235915367513,50,4
2010-11-30,suspension_screened,0.002320729609689871,50,4
2010-12-30,unfiltered,0.024957878484800137,50,19
2010-12-30,suspension_screened,0.019790559786942417,50,19
2011-01-31,unfiltered,-0.03332843754768208,50,9
2011-01-31,suspension_screened,-0.041572055235861605,50,9
2011-02-28,unfiltered,0.022207061378214953,50,7
2011-02-28,suspension_screened,0.025485558467992473,50,7
2011-03-31,unfiltered,-0.03840980919616066,50,19
2011-03-31,suspension_screened,-0.005449552313724084,50,19
2011-04-29,unfiltered,0.005268730975063597,50,36
2011-04-29,suspension_screened,0.00714304225267617,50,36
2011-05-31,unfiltered,0.06770648212591533,50,8
2011-05-31,suspension_screened,0.06874317023996625,50,8
2011-06-30,unfiltered,0.04594811462212815,50,12
2011-06-30,suspension_screened,0.07372026937428668,50,12
2011-07-29,unfiltered,-0.0793834584364586,50,3
2011-07-29,suspension_screened,-0.08178648198994674,50,3
2011-08-31,unfiltered,-0.14755739369931273,50,12
2011-08-31,suspension_screened,-0.11613685190398498,50,12
2011-09-30,unfiltered,0.1838390447187966,50,11
2011-09-30,suspension_screened,0.18785863779988154,50,11
2011-10-31,unfiltered,-0.023857989503973845,50,13
2011-10-31,suspension_screened,-0.02868925923480668,50,13
2011-11-30,unfiltered,0.06894222833849467,50,8
2011-11-30,suspension_screened,0.07669308718652565,50,8
2011-12-29,unfiltered,0.17140880602418332,50,12
2011-12-29,suspension_screened,0.1670272124481107,50,12
2012-01-31,unfiltered,0.20824514624344675,50,2
2012-01-31,suspension_screened,0.22507710203725556,50,2
2012-02-29,unfiltered,0.0003627399341724906,50,9
2012-02-29,suspension_screened,0.005859370182835627,50,9
2012-03-30,unfiltered,0.05377622882606702,50,14
2012-03-30,suspension_screened,0.10512169469435535,50,14
2012-04-30,unfiltered,0.041678851884593096,50,16
2012-04-30,suspension_screened,0.06556850571461183,50,16
2012-05-31,unfiltered,0.17679911027767864,50,6
2012-05-31,suspension_screened,0.17686086501401763,50,6
2012-06-29,unfiltered,-0.004838123926350067,50,6
2012-06-29,suspension_screened,0.009292680860506112,50,6
2012-07-31,unfiltered,0.014122202724239197,50,3
2012-07-31,suspension_screened,0.014122202724239197,50,3
2012-08-31,unfiltered,-0.021088745877329323,50,8
2012-08-31,suspension_screened,-0.022274523446497094,50,8
2012-09-28,unfiltered,-0.05678285220728431,50,11
2012-09-28,suspension_screened,-0.0546382220448459,50,11
2012-10-31,unfiltered,-0.0670153083224602,50,12
2012-10-31,suspension_screened,-0.07250489661410214,50,12
2012-11-30,unfiltered,-0.02565144940472944,50,9
2012-11-30,suspension_screened,-0.029994609096563228,50,9
2012-12-28,unfiltered,0.12389175864566646,50,13
2012-12-28,suspension_screened,0.1334050619458311,50,13
2013-01-31,unfiltered,0.024574082812257692,50,5
2013-01-31,suspension_screened,0.035330282730771906,50,5
2013-02-28,unfiltered,-0.01767819619737863,50,10
2013-02-28,suspension_screened,-0.01082852533857157,50,10
2013-03-29,unfiltered,0.043490021292132135,50,20
2013-03-29,suspension_screened,0.11770448309913248,50,20
2013-04-30,unfiltered,0.1316311274191462,50,16
2013-04-30,suspension_screened,0.1296477526023891,50,16
2013-05-31,unfiltered,-0.09190814705691168,50,5
2013-05-31,suspension_screened,-0.09360701090475171,50,5
2013-06-28,unfiltered,0.03715042289461376,50,6
2013-06-28,suspension_screened,0.04622528645379164,50,6
2013-07-31,unfiltered,-0.06530917735644984,50,7
2013-07-31,suspension_screened,-0.05913419614911514,50,7
2013-08-30,unfiltered,0.028324310036984858,50,8
2013-08-30,suspension_screened,0.02830194752179058,50,8
2013-09-30,unfiltered,-0.03295811208919552,50,10
2013-09-30,suspension_screened,-0.040862995249821656,50,10
2013-10-31,unfiltered,0.002041095668280142,50,4
2013-10-31,suspension_screened,0.002041095668280142,50,4
2013-11-29,unfiltered,-0.02559239251282015,50,5
2013-11-29,suspension_screened,-0.02559239251282015,50,5
2013-12-30,unfiltered,0.027567599226410826,50,8
2013-12-30,suspension_screened,0.03221651401501257,50,8
2014-01-29,unfiltered,0.009155544080393678,50,11
2014-01-29,suspension_screened,0.009549658411472076,50,11
2014-02-28,unfiltered,-0.001620030683568167,50,9
2014-02-28,suspension_screened,0.0013973991732465153,50,9
2014-03-31,unfiltered,0.04129512656901723,50,8
2014-03-31,suspension_screened,0.04877040395454651,50,8
2014-04-30,unfiltered,0.14223869504125825,50,11
2014-04-30,suspension_screened,0.1374355634867025,50,11
2014-05-30,unfiltered,0.015615185023232631,50,5
2014-05-30,suspension_screened,0.015615185023232631,50,5
2014-06-30,unfiltered,0.012394795187829858,50,7
2014-06-30,suspension_screened,0.017675917005885017,50,7
2014-07-31,unfiltered,0.06489019681616015,50,5
2014-07-31,suspension_screened,0.06489019681616015,50,5
2014-08-29,unfiltered,-0.02257139472592992,50,6
2014-08-29,suspension_screened,-0.02257139472592992,50,6
2014-09-30,unfiltered,-0.02410793362573838,50,6
2014-09-30,suspension_screened,-0.027334616192872807,50,6
2014-10-31,unfiltered,0.058320668161976175,50,4
2014-10-31,suspension_screened,0.057495133408160023,50,4
2014-11-28,unfiltered,-0.014123480812799754,50,4
2014-11-28,suspension_screened,-0.01593027089248441,50,4
2014-12-30,unfiltered,0.11747833692860155,50,12
2014-12-30,suspension_screened,0.12568737744150144,50,12
2015-01-30,unfiltered,0.14570350200121035,50,4
2015-01-30,suspension_screened,0.14570350200121035,50,4
2015-02-27,unfiltered,0.11363219145816725,50,7
2015-02-27,suspension_screened,0.1083693137870716,50,7
2015-03-31,unfiltered,0.10734245455896765,50,17
2015-03-31,suspension_screened,0.13833536966851007,50,17
2015-04-30,unfiltered,0.038911572850035415,50,21
2015-04-30,suspension_screened,0.04940979532578188,50,21
2015-05-29,unfiltered,0.1566110023463756,50,9
2015-05-29,suspension_screened,0.1566110023463756,50,9
2015-06-30,unfiltered,0.11405745707287236,50,7
2015-06-30,suspension_screened,0.11797633023329829,50,7
2015-07-31,unfiltered,-0.029502302956343117,50,7
2015-07-31,suspension_screened,-0.032802717762418415,50,7
2015-08-31,unfiltered,-0.009085173541844255,50,6
2015-08-31,suspension_screened,0.01345316264829181,50,6
2015-09-30,unfiltered,0.10807540262310393,50,8
2015-09-30,suspension_screened,0.14307213278038122,50,8
2015-10-30,unfiltered,0.1588734238473809,50,5
2015-10-30,suspension_screened,0.16330975756558877,50,5
2015-11-30,unfiltered,0.02485183018395409,50,8
2015-11-30,suspension_screened,0.027628865793751588,50,8
2015-12-30,unfiltered,-0.00824478965347162,50,11
2015-12-30,suspension_screened,-0.015294971438488264,50,11
2016-01-29,unfiltered,0.0327487929097031,50,8
2016-01-29,suspension_screened,0.0327487929097031,50,8
2016-02-29,unfiltered,0.13339204149754108,50,12
2016-02-29,suspension_screened,0.13339204149754108,50,12
2016-03-31,unfiltered,0.06357083451810529,50,16
2016-03-31,suspension_screened,0.08832703589079692,50,16
2016-04-29,unfiltered,0.056679520011715126,50,28
2016-04-29,suspension_screened,0.056679520011715126,50,28
2016-05-31,unfiltered,0.06334168878162469,50,3
2016-05-31,suspension_screened,0.0627262936528491,50,3
2016-06-30,unfiltered,0.11440569619681239,50,12
2016-06-30,suspension_screened,0.12706049382688944,50,12
2016-07-29,unfiltered,0.02730775682997707,50,5
