months,cagr,mdd,t_stat,mean_monthly_return,rule,threshold,stop_hit_rate,triggered_positions,observed_positions,recovered_by_month_end_rate
317,0.4733653939139053,-0.49794693705519866,6.280039489388348,0.038190557397859974,hold,,,,15464,
317,0.4748317383572993,-0.42235567524609996,6.856314827389022,0.03704150688412906,stop_10,0.1,0.35404811174340406,5475.0,15464,0.41899543378995435
317,0.47864804609128964,-0.49816294958469354,6.497732936432339,0.03804246920118635,stop_20,0.2,0.16282979824107605,2518.0,15464,0.3995234312946783
317,0.46532266492183294,-0.5089153893532457,6.2156247128790865,0.037694549478881685,stop_30,0.3,0.07837558199689601,1212.0,15464,0.37293729372937295
