signal,universe_pct,aum_krw,months,ideal_cagr,realised_cagr,mean_executed_fraction,mean_effective_n,mean_one_way_cost
momentum_6m,0.2,100000000,311,-0.29805854750640115,-0.31634906249317474,0.9999999999999997,30.00000000000001,0.0010603283243122788
momentum_6m,0.2,1000000000,311,-0.29805854750640115,-0.3185627711462029,1.0000000000000002,29.999999999999975,0.001190774912248111
momentum_6m,0.2,10000000000,311,-0.29805854750640115,-0.32598684962706537,0.9832581891185862,29.93120670949734,0.001584580039656417
momentum_6m,0.2,100000000000,311,-0.29805854750640115,-0.2191513198456425,0.5106888724510654,23.57792631980689,0.001897271487369625
momentum_6m,0.30000000000000004,100000000,311,-0.28540299561022797,-0.30433048543747077,0.9999999999999997,30.00000000000001,0.0010795384427725188
momentum_6m,0.30000000000000004,1000000000,311,-0.28540299561022797,-0.30730138637499305,1.0000000000000002,29.999999999999975,0.0012515226407041158
momentum_6m,0.30000000000000004,10000000000,311,-0.28540299561022797,-0.3004045527243012,0.9002687650240914,29.19934244413713,0.001658300024536393
momentum_6m,0.30000000000000004,100000000000,311,-0.28540299561022797,-0.18595182650125697,0.4205659405706874,20.732899885053495,0.0018990758305101195
momentum_6m,0.4000000000000001,100000000,311,-0.25519463745991355,-0.27517860725221877,0.9999999999999997,30.00000000000001,0.0010973891420942893
momentum_6m,0.4000000000000001,1000000000,311,-0.25519463745991355,-0.2792907572259521,0.9991712387370313,29.996370269357868,0.0013068951436658056
momentum_6m,0.4000000000000001,10000000000,311,-0.25519463745991355,-0.2642894637418073,0.8258634351040821,28.030251305821377,0.0016759907211581413
momentum_6m,0.4000000000000001,100000000000,311,-0.25519463745991355,-0.1639194346392152,0.3787536915747409,19.043056024412074,0.0018967910202189963
momentum_6m,0.5000000000000001,100000000,311,-0.23396884648885563,-0.2547804760804382,0.9999999999999997,30.00000000000001,0.001114237186409989
momentum_6m,0.5000000000000001,1000000000,311,-0.23396884648885563,-0.26025318319096147,0.9926241806650745,29.94765916687731,0.0013503247508993802
momentum_6m,0.5000000000000001,10000000000,311,-0.23396884648885563,-0.24549802818565625,0.7751426845605871,26.939283591921438,0.0016790275340043588
momentum_6m,0.5000000000000001,100000000000,311,-0.23396884648885563,-0.15532844043976024,0.35650611379739344,17.977532590566977,0.0018949209450456145
momentum_6m,0.6000000000000001,100000000,311,-0.21717700066099532,-0.23872325692833285,0.9999999999999997,30.00000000000001,0.0011309144143010381
momentum_6m,0.6000000000000001,1000000000,311,-0.21717700066099532,-0.2449969825660986,0.9767274092399174,29.78231290142085,0.0013754394329141774
momentum_6m,0.6000000000000001,10000000000,311,-0.21717700066099532,-0.23539339359008682,0.7420908420058236,26.061387345955907,0.0016801543793675806
momentum_6m,0.6000000000000001,100000000000,311,-0.21717700066099532,-0.15122361883258706,0.34271811303535515,17.267795943556493,0.0018948549828042606
momentum_6m,0.7000000000000002,100000000,311,-0.20272103112022732,-0.22486582288221757,0.9996367917962022,29.997496085854834,0.0011467276593830106
momentum_6m,0.7000000000000002,1000000000,311,-0.20272103112022732,-0.23262843705028768,0.957402341859968,29.501480095111592,0.0013853562524612719
momentum_6m,0.7000000000000002,10000000000,311,-0.20272103112022732,-0.2299502820993916,0.7204569143224621,25.41375678670685,0.0016800337289749943
momentum_6m,0.7000000000000002,100000000000,311,-0.20272103112022732,-0.14718348888942023,0.3333447748264809,16.799315367742157,0.0018940882149308062
momentum_6m,0.8000000000000003,100000000,311,-0.2010956090976448,-0.22697434448296072,0.997739690828663,29.979115265833432,0.0011601034670924897
momentum_6m,0.8000000000000003,1000000000,311,-0.2010956090976448,-0.2343478712545619,0.9411028892637757,29.178441759658998,0.0013879526637318343
momentum_6m,0.8000000000000003,10000000000,311,-0.2010956090976448,-0.22798348509802713,0.7081571445203723,24.976702553110016,0.0016798955093163912
momentum_6m,0.8000000000000003,100000000000,311,-0.2010956090976448,-0.14629310620266833,0.3282713901058484,16.525764769335144,0.001893460681893944
momentum_6m,0.9000000000000001,100000000,311,-0.20718897261774916,-0.23128966499877668,0.9914974559697594,29.905133523371834,0.001170027117813837
momentum_6m,0.9000000000000001,1000000000,311,-0.20718897261774916,-0.2336007570998072,0.9267744135025293,28.817862967315946,0.0013889719691823497
momentum_6m,0.9000000000000001,10000000000,311,-0.20718897261774916,-0.22599450880474437,0.697532912057643,24.605677714044933,0.0016792004820567383
momentum_6m,0.9000000000000001,100000000000,311,-0.20718897261774916,-0.145274001517541,0.3243005825975686,16.28654143054595,0.0018918927482748649
momentum_6m,1.0000000000000002,100000000,311,-0.1963750046524516,-0.22694992853042373,0.9647929951327598,29.267242336726085,0.0011735022676091173
momentum_6m,1.0000000000000002,1000000000,311,-0.1963750046524516,-0.2303207079071734,0.8990500969358329,27.991434513670832,0.0013875983407239346
momentum_6m,1.0000000000000002,10000000000,311,-0.1963750046524516,-0.2240208936016994,0.6774760946379808,23.880806505681424,0.0016768811491236597
momentum_6m,1.0000000000000002,100000000000,311,-0.1963750046524516,-0.14153884624510737,0.3162597774193926,15.828980709616408,0.0018908830575089818
reversal_1m,0.2,100000000,311,-0.15891248745109454,-0.18054827992420786,0.9999999999999997,30.00000000000001,0.0010621250304254876
reversal_1m,0.2,1000000000,311,-0.15891248745109454,-0.18323922015299265,1.0000000000000002,29.999999999999975,0.0011964565958517983
reversal_1m,0.2,10000000000,311,-0.15891248745109454,-0.19213565381251974,0.9821395891764984,29.925515823974145,0.001601035455477741
reversal_1m,0.2,100000000000,311,-0.15891248745109454,-0.12904215222134663,0.4885995326121779,23.235197474257774,0.0018880900934395736
reversal_1m,0.30000000000000004,100000000,311,-0.15864213209696332,-0.18074406466869286,0.9999999999999997,30.00000000000001,0.0010847693965078862
reversal_1m,0.30000000000000004,1000000000,311,-0.15864213209696332,-0.184422478230845,1.0000000000000002,29.999999999999975,0.0012680643688428427
reversal_1m,0.30000000000000004,10000000000,311,-0.15864213209696332,-0.17526793385002215,0.8838056508529727,29.068146216796446,0.0016877401036201436
reversal_1m,0.30000000000000004,100000000000,311,-0.15864213209696332,-0.09833867574242383,0.38468976260905635,19.943922532365114,0.0018895494668261128
