signal,universe_pct,holdings,aum_krw,cost_multiplier,participation,months,net_cagr,mdd,t_stat,p_value,mean_fill,robust
reversal_1m,0.2,20,10000000000.0,2.0,0.1,310,-0.2302198716466436,-0.9987275182722677,-1.9578849010275348,0.05024352001316523,0.996051504920928,False
reversal_1m,0.2,30,100000000.0,0.5,0.025,310,-0.15426810210219732,-0.9885981174843913,-1.038959480544341,0.2988235813385214,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.0,0.025,310,-0.15491335742375922,-0.9888018020875047,-1.0481722545140921,0.2945592512435975,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.5,0.025,310,-0.15555816404265477,-0.9890018613320958,-1.0573852744544132,0.29033578928300896,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,2.0,0.025,310,-0.15620252224091413,-0.9891983595090584,-1.066598539950166,0.28615316009482283,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,0.5,0.05,310,-0.15426810210219732,-0.9885981174843913,-1.038959480544341,0.2988235813385214,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.0,0.05,310,-0.15491335742375922,-0.9888018020875047,-1.0481722545140921,0.2945592512435975,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.5,0.05,310,-0.15555816404265477,-0.9890018613320958,-1.0573852744544132,0.29033578928300896,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,2.0,0.05,310,-0.15620252224091413,-0.9891983595090584,-1.066598539950166,0.28615316009482283,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,0.5,0.1,310,-0.15426810210219732,-0.9885981174843913,-1.038959480544341,0.2988235813385214,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.0,0.1,310,-0.15491335742375922,-0.9888018020875047,-1.0481722545140921,0.2945592512435975,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,1.5,0.1,310,-0.15555816404265477,-0.9890018613320958,-1.0573852744544132,0.29033578928300896,0.9999999999999998,False
reversal_1m,0.2,30,100000000.0,2.0,0.1,310,-0.15620252224091413,-0.9891983595090584,-1.066598539950166,0.28615316009482283,0.9999999999999998,False
reversal_1m,0.2,30,1000000000.0,0.5,0.025,310,-0.15566275945591634,-0.9890339889719318,-1.0588803649416603,0.28965426755243473,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.0,0.025,310,-0.1576986373660264,-0.9896417199497745,-1.0880162318031559,0.27658794187317426,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.5,0.025,310,-0.15973004043345052,-0.9902158890566034,-1.117154540412,0.26392825395419384,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,2.0,0.025,310,-0.16175697754969365,-0.9907583432105614,-1.146295277628543,0.2516729962363291,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,0.5,0.05,310,-0.15566275945591634,-0.9890339889719318,-1.0588803649416603,0.28965426755243473,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.0,0.05,310,-0.1576986373660264,-0.9896417199497745,-1.0880162318031559,0.27658794187317426,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.5,0.05,310,-0.15973004043345052,-0.9902158890566034,-1.117154540412,0.26392825395419384,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,2.0,0.05,310,-0.16175697754969365,-0.9907583432105614,-1.146295277628543,0.2516729962363291,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,0.5,0.1,310,-0.15566275945591634,-0.9890339889719318,-1.0588803649416603,0.28965426755243473,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.0,0.1,310,-0.1576986373660264,-0.9896417199497745,-1.0880162318031559,0.27658794187317426,1.0000000000000002,False
reversal_1m,0.2,30,1000000000.0,1.5,0.1,310,-0.15973004043345052,-0.9902158890566034,-1.117154540412,0.26392825395419384,1.0000000000000002,False
