date,turnover_bucket,signal,rank_ic_12m,n
2000-06-30,1,ret_1m,0.026730223045983822,202
2000-06-30,1,ret_6m,-0.16070318426121571,202
2000-06-30,2,ret_1m,-0.1439177564273216,201
2000-06-30,2,ret_6m,-0.20596882368023028,201
2000-06-30,3,ret_1m,0.026626284404569725,201
2000-06-30,3,ret_6m,-0.034672676222846165,201
2000-06-30,4,ret_1m,-0.03460617703561401,201
2000-06-30,4,ret_6m,0.1137225187389315,201
2000-06-30,5,ret_1m,-0.006471112188234588,201
2000-06-30,5,ret_6m,0.09977467850402577,201
2000-07-31,1,ret_1m,0.07983473013730007,204
2000-07-31,1,ret_6m,-0.1616867021983233,204
2000-07-31,2,ret_1m,-0.00950238796530585,204
2000-07-31,2,ret_6m,-0.18107865517948138,204
2000-07-31,3,ret_1m,0.2678884169311122,204
2000-07-31,3,ret_6m,0.04502335837615113,204
2000-07-31,4,ret_1m,0.15774860512281097,204
2000-07-31,4,ret_6m,-0.0005505652481660831,204
2000-07-31,5,ret_1m,0.16234977821895802,204
2000-07-31,5,ret_6m,0.06991681449703516,204
2000-08-31,1,ret_1m,0.2035478940670034,205
2000-08-31,1,ret_6m,0.026492224812708274,205
2000-08-31,2,ret_1m,0.15031714064910878,204
2000-08-31,2,ret_6m,0.09982543059275854,204
2000-08-31,3,ret_1m,0.047587457894257695,205
2000-08-31,3,ret_6m,0.13130754551406162,205
2000-08-31,4,ret_1m,0.09821267657498449,204
2000-08-31,4,ret_6m,0.1540804715494272,204
2000-08-31,5,ret_1m,0.04764392144412896,205
2000-08-31,5,ret_6m,0.23276037386301904,205
2000-09-29,1,ret_1m,0.15128961461749882,206
2000-09-29,1,ret_6m,0.24625256789786196,206
2000-09-29,2,ret_1m,0.1448843444918165,206
2000-09-29,2,ret_6m,0.2792816011975994,206
2000-09-29,3,ret_1m,0.28412763582053646,205
2000-09-29,3,ret_6m,0.27688846791380534,205
2000-09-29,4,ret_1m,0.04389008432085165,206
2000-09-29,4,ret_6m,0.1152825833447099,206
2000-09-29,5,ret_1m,-0.08637104606588489,206
2000-09-29,5,ret_6m,0.16389892613567325,206
2000-10-31,1,ret_1m,-0.25275751444196204,208
2000-10-31,1,ret_6m,-0.03930640540189029,208
2000-10-31,2,ret_1m,-0.113811283114229,208
2000-10-31,2,ret_6m,0.09371216121788203,208
2000-10-31,3,ret_1m,0.012894291970787796,207
2000-10-31,3,ret_6m,0.21147964723297213,207
2000-10-31,4,ret_1m,-0.10608064430633411,208
2000-10-31,4,ret_6m,-0.06175822651795191,208
2000-10-31,5,ret_1m,-0.14818533868877118,208
2000-10-31,5,ret_6m,0.06122614989891877,208
2000-11-30,1,ret_1m,-0.02612694562361027,210
2000-11-30,1,ret_6m,-0.075142690449114,210
2000-11-30,2,ret_1m,-0.15976520755071105,209
2000-11-30,2,ret_6m,-0.047380939705649425,209
2000-11-30,3,ret_1m,-0.16033560906087246,210
2000-11-30,3,ret_6m,0.1796860827333841,210
2000-11-30,4,ret_1m,-0.20427643211734225,209
2000-11-30,4,ret_6m,0.0037758319153424966,209
2000-11-30,5,ret_1m,0.05614193537523915,210
2000-11-30,5,ret_6m,-0.04434502887982559,210
2000-12-26,1,ret_1m,-0.02052811419391799,214
2000-12-26,1,ret_6m,-0.11666826869266327,214
2000-12-26,2,ret_1m,-0.05194337502796434,213
2000-12-26,2,ret_6m,-0.1201666373291145,213
2000-12-26,3,ret_1m,-0.04228783227641586,214
2000-12-26,3,ret_6m,0.033884265137876034,214
2000-12-26,4,ret_1m,-0.16550672032081412,213
2000-12-26,4,ret_6m,-0.2200634188169406,213
2000-12-26,5,ret_1m,-0.0453893978957422,214
2000-12-26,5,ret_6m,-0.10672082921349002,214
2001-01-31,1,ret_1m,-0.1128587663154795,220
2001-01-31,1,ret_6m,0.14196733440808573,220
2001-01-31,2,ret_1m,-0.24634591012995008,219
2001-01-31,2,ret_6m,0.1251197845691534,219
2001-01-31,3,ret_1m,-0.1950638645971793,219
2001-01-31,3,ret_6m,0.04299417408176341,219
2001-01-31,4,ret_1m,-0.40678076479257835,219
2001-01-31,4,ret_6m,0.039754590012224804,219
2001-01-31,5,ret_1m,-0.3123625769878791,220
2001-01-31,5,ret_6m,0.010159864309743439,220
2001-02-28,1,ret_1m,0.13032570562778736,225
2001-02-28,1,ret_6m,0.15409827171465626,225
2001-02-28,2,ret_1m,-0.02796790965014387,225
2001-02-28,2,ret_6m,0.09252317741255796,225
2001-02-28,3,ret_1m,-0.040719767803808746,225
2001-02-28,3,ret_6m,0.06510219131900549,225
2001-02-28,4,ret_1m,0.02878387180335533,225
2001-02-28,4,ret_6m,-0.026722531313258947,225
2001-02-28,5,ret_1m,0.08328509082701356,225
2001-02-28,5,ret_6m,0.028194268857985677,225
2001-03-30,1,ret_1m,-0.060151302229603444,226
2001-03-30,1,ret_6m,-0.12714012558383403,226
2001-03-30,2,ret_1m,-0.2107672959333507,225
2001-03-30,2,ret_6m,-0.11169628286593102,225
2001-03-30,3,ret_1m,-0.039172987779182475,225
2001-03-30,3,ret_6m,-0.05607458912768648,225
2001-03-30,4,ret_1m,0.11156845651233524,225
2001-03-30,4,ret_6m,2.4230931310577332e-05,225
2001-03-30,5,ret_1m,0.06947671162312596,226
2001-03-30,5,ret_6m,0.007560458981456213,226
2001-04-30,1,ret_1m,0.07630882450078531,224
2001-04-30,1,ret_6m,0.14394734102662607,224
2001-04-30,2,ret_1m,-0.009378618479541944,224
2001-04-30,2,ret_6m,-0.07281443519111681,224
2001-04-30,3,ret_1m,-0.05263503493229813,224
2001-04-30,3,ret_6m,-0.2153812234094737,224
2001-04-30,4,ret_1m,-0.2537462313579925,224
2001-04-30,4,ret_6m,-0.07060217809096735,224
2001-04-30,5,ret_1m,-0.17090224506253146,224
2001-04-30,5,ret_6m,-0.06774717061712579,224
2001-05-31,1,ret_1m,0.3372013027629905,226
2001-05-31,1,ret_6m,0.20892522289700827,226
2001-05-31,2,ret_1m,0.36288568052112036,226
2001-05-31,2,ret_6m,0.18038046649319545,226
2001-05-31,3,ret_1m,0.2577805075649425,225
2001-05-31,3,ret_6m,0.03244627054361568,225
2001-05-31,4,ret_1m,0.1279821480459133,226
2001-05-31,4,ret_6m,-0.00014710277701973935,226
2001-05-31,5,ret_1m,0.006551018466879132,226
2001-05-31,5,ret_6m,-0.006037451431393188,226
2001-06-29,1,ret_1m,0.24696291777791135,229
2001-06-29,1,ret_6m,0.027941266485452736,229
2001-06-29,2,ret_1m,0.12356785018575177,228
2001-06-29,2,ret_6m,-0.04781426297695217,228
2001-06-29,3,ret_1m,0.1845598174732047,229
2001-06-29,3,ret_6m,-0.11629463399084881,229
2001-06-29,4,ret_1m,0.30483607111335737,228
2001-06-29,4,ret_6m,-0.13733234650599338,228
2001-06-29,5,ret_1m,0.015386783035175048,229
2001-06-29,5,ret_6m,-0.13181277667302874,229
2001-07-31,1,ret_1m,0.15814295030810677,233
2001-07-31,1,ret_6m,0.23252025810140392,233
2001-07-31,2,ret_1m,0.07701513578280444,233
2001-07-31,2,ret_6m,0.21543191093185807,233
2001-07-31,3,ret_1m,0.11887912034223164,233
2001-07-31,3,ret_6m,0.2140534222819261,233
2001-07-31,4,ret_1m,0.09687579452267923,233
2001-07-31,4,ret_6m,0.13485919635098265,233
2001-07-31,5,ret_1m,-0.003889603564015285,233
2001-07-31,5,ret_6m,-0.032400397688247325,233
2001-08-31,1,ret_1m,0.23727384863487344,234
2001-08-31,1,ret_6m,0.30487253777763207,234
2001-08-31,2,ret_1m,0.19080706994479668,234
2001-08-31,2,ret_6m,0.1582396545543606,234
2001-08-31,3,ret_1m,0.23980622083997943,233
2001-08-31,3,ret_6m,0.21325178447422047,233
2001-08-31,4,ret_1m,0.1389476848842676,234
2001-08-31,4,ret_6m,0.1004020474425844,234
2001-08-31,5,ret_1m,0.10327173178036977,234
2001-08-31,5,ret_6m,-0.05859435822378124,234
2001-09-28,1,ret_1m,0.09413325812659346,235
2001-09-28,1,ret_6m,0.21400442786527696,235
2001-09-28,2,ret_1m,0.10879384483551265,234
2001-09-28,2,ret_6m,0.1316887420862531,234
2001-09-28,3,ret_1m,-0.023601665696938473,234
2001-09-28,3,ret_6m,0.12599200634996457,234
2001-09-28,4,ret_1m,0.003544462777872703,234
2001-09-28,4,ret_6m,0.12897314821340827,234
2001-09-28,5,ret_1m,0.12675581126084404,234
2001-09-28,5,ret_6m,0.0019494765727986444,234
2001-10-31,1,ret_1m,-0.17419774643092997,234
2001-10-31,1,ret_6m,0.3070248435184918,234
2001-10-31,2,ret_1m,-0.3057424344205705,234
2001-10-31,2,ret_6m,0.18610968673976622,234
2001-10-31,3,ret_1m,-0.1131841701635587,233
2001-10-31,3,ret_6m,0.10779419633200897,233
2001-10-31,4,ret_1m,-0.18839126664056743,234
2001-10-31,4,ret_6m,0.1864890424452665,234
2001-10-31,5,ret_1m,-0.1492790957193144,234
2001-10-31,5,ret_6m,-0.0025207860656678125,234
2001-11-30,1,ret_1m,0.17037075080339326,236
2001-11-30,1,ret_6m,0.31682740305052026,236
2001-11-30,2,ret_1m,0.2221328377116332,235
2001-11-30,2,ret_6m,0.17150452624668275,235
2001-11-30,3,ret_1m,0.2587345274185078,235
2001-11-30,3,ret_6m,0.29638362599054985,235
2001-11-30,4,ret_1m,0.1964938430968348,235
2001-11-30,4,ret_6m,0.23615541808834267,235
2001-11-30,5,ret_1m,0.19274056051523158,236
2001-11-30,5,ret_6m,0.12447789945541772,236
2001-12-28,1,ret_1m,0.07545514721798177,237
2001-12-28,1,ret_6m,0.24534098501301638,237
2001-12-28,2,ret_1m,0.107288925669499,237
2001-12-28,2,ret_6m,0.21520989942468838,237
2001-12-28,3,ret_1m,0.18666206924529813,237
2001-12-28,3,ret_6m,0.235259517676433,237
2001-12-28,4,ret_1m,0.1868946025609031,237
2001-12-28,4,ret_6m,0.2559406445989052,237
2001-12-28,5,ret_1m,0.030340782221185473,237
2001-12-28,5,ret_6m,0.18732054003463414,237
2002-01-31,1,ret_1m,0.14578645280741143,242
2002-01-31,1,ret_6m,0.11906754267854398,242
2002-01-31,2,ret_1m,-0.0007750077157847811,241
2002-01-31,2,ret_6m,0.1182726929803505,241
2002-01-31,3,ret_1m,0.015433399954353512,241
2002-01-31,3,ret_6m,0.16848191258914533,241
2002-01-31,4,ret_1m,0.20137598751937147,241
2002-01-31,4,ret_6m,0.21449195843763935,241
2002-01-31,5,ret_1m,0.0149226907836681,242
2002-01-31,5,ret_6m,0.059138262206286846,242
2002-02-28,1,ret_1m,0.0018802067036559416,247
2002-02-28,1,ret_6m,0.11225792194677753,247
2002-02-28,2,ret_1m,0.06062079006898215,246
2002-02-28,2,ret_6m,0.03791361461021138,246
2002-02-28,3,ret_1m,0.2084804784959354,246
2002-02-28,3,ret_6m,0.2319654671387662,246
2002-02-28,4,ret_1m,0.052025834368319965,246
2002-02-28,4,ret_6m,0.08298570722667992,246
2002-02-28,5,ret_1m,-0.0027620646362623252,246
2002-02-28,5,ret_6m,-0.029423067738309328,246
2002-03-29,1,ret_1m,-0.1204543328832364,247
2002-03-29,1,ret_6m,-0.12676248975506543,247
2002-03-29,2,ret_1m,-0.10644333098679032,247
2002-03-29,2,ret_6m,-0.0671894360970513,247
2002-03-29,3,ret_1m,-0.12764867140886205,247
2002-03-29,3,ret_6m,-0.01353636251244057,247
2002-03-29,4,ret_1m,-0.01650968516567154,247
2002-03-29,4,ret_6m,0.13352838308323006,247
2002-03-29,5,ret_1m,-0.0637556768999053,247
2002-03-29,5,ret_6m,0.03435880447350901,247
2002-04-30,1,ret_1m,0.05781804907333058,247
2002-04-30,1,ret_6m,0.14068916446252422,247
2002-04-30,2,ret_1m,0.23854716015759542,247
2002-04-30,2,ret_6m,0.1433390132206451,247
2002-04-30,3,ret_1m,0.02733656051863554,246
2002-04-30,3,ret_6m,0.14613473098480836,246
2002-04-30,4,ret_1m,-0.023206491908904933,247
2002-04-30,4,ret_6m,0.25007804113564186,247
2002-04-30,5,ret_1m,-0.08271509107053562,247
2002-04-30,5,ret_6m,0.08353961849770346,247
2002-05-31,1,ret_1m,0.051474699292425125,251
2002-05-31,1,ret_6m,0.20828097111522756,251
2002-05-31,2,ret_1m,-0.05051000807248785,251
2002-05-31,2,ret_6m,0.27942065631202484,251
2002-05-31,3,ret_1m,-0.018646204239632494,250
2002-05-31,3,ret_6m,0.2460070081121298,250
2002-05-31,4,ret_1m,-0.14695566124453038,251
2002-05-31,4,ret_6m,0.10903094460841489,251
2002-05-31,5,ret_1m,-0.22121123586285538,251
2002-05-31,5,ret_6m,0.05794578481943222,251
2002-06-28,1,ret_1m,-0.03577561494395637,257
2002-06-28,1,ret_6m,0.09938919425258692,257
2002-06-28,2,ret_1m,0.0452474350077144,256
2002-06-28,2,ret_6m,0.1935887766039179,256
2002-06-28,3,ret_1m,0.008494161269976949,256
2002-06-28,3,ret_6m,0.15194698299578643,256
2002-06-28,4,ret_1m,-0.13324905092907785,256
2002-06-28,4,ret_6m,0.01867636093138023,256
2002-06-28,5,ret_1m,-0.015148524003337748,257
2002-06-28,5,ret_6m,0.008257527690342343,257
2002-07-31,1,ret_1m,0.09519360481607266,264
2002-07-31,1,ret_6m,0.16109477453259302,264
2002-07-31,2,ret_1m,0.025713605320600776,263
2002-07-31,2,ret_6m,0.20318863404920523,263
2002-07-31,3,ret_1m,0.017082648255865997,264
2002-07-31,3,ret_6m,0.2462075416600189,264
2002-07-31,4,ret_1m,0.05184507069915742,263
2002-07-31,4,ret_6m,0.03643270879444325,263
2002-07-31,5,ret_1m,-0.019265355872055086,264
2002-07-31,5,ret_6m,0.05773010976397159,264
2002-08-30,1,ret_1m,-0.08619684616798685,268
2002-08-30,1,ret_6m,0.24452492174527926,268
2002-08-30,2,ret_1m,-0.009471676458056046,268
2002-08-30,2,ret_6m,0.15408346236899528,268
2002-08-30,3,ret_1m,-0.10041263611178615,268
2002-08-30,3,ret_6m,0.1076511641571557,268
2002-08-30,4,ret_1m,-0.0533853227066784,268
2002-08-30,4,ret_6m,0.0074209183741060815,268
2002-08-30,5,ret_1m,0.11149328889299294,268
2002-08-30,5,ret_6m,0.07219302177554647,268
2002-09-30,1,ret_1m,-0.09302514116910054,269
2002-09-30,1,ret_6m,0.08901151760901638,269
2002-09-30,2,ret_1m,-0.2192654639376103,268
2002-09-30,2,ret_6m,-0.08088854018749862,268
2002-09-30,3,ret_1m,-0.1501851489054187,268
2002-09-30,3,ret_6m,0.0032695436198389516,268
2002-09-30,4,ret_1m,-0.12001117174595625,268
2002-09-30,4,ret_6m,-0.10730329399688761,268
2002-09-30,5,ret_1m,-0.04107547970851228,268
2002-09-30,5,ret_6m,-0.10461850556748023,268
2002-10-31,1,ret_1m,-0.04723984339717034,270
2002-10-31,1,ret_6m,0.042882213451747954,270
2002-10-31,2,ret_1m,-0.03973577709483884,269
2002-10-31,2,ret_6m,0.10966667740397852,269
2002-10-31,3,ret_1m,0.06665948446291285,269
2002-10-31,3,ret_6m,-0.0028287950187071234,269
2002-10-31,4,ret_1m,0.08999877316712943,269
2002-10-31,4,ret_6m,-0.031301366664411696,269
2002-10-31,5,ret_1m,0.021292779188512176,269
2002-10-31,5,ret_6m,-0.021724713132712337,269
2002-11-29,1,ret_1m,0.17503939897114906,272
2002-11-29,1,ret_6m,0.16822287234788233,272
2002-11-29,2,ret_1m,0.24133169270879762,271
2002-11-29,2,ret_6m,0.1643387122764158,271
2002-11-29,3,ret_1m,0.1821643285365166,271
2002-11-29,3,ret_6m,0.1050665970463464,271
2002-11-29,4,ret_1m,0.05702774571692276,271
2002-11-29,4,ret_6m,0.0902575790463787,271
2002-11-29,5,ret_1m,0.023652531291676538,272
2002-11-29,5,ret_6m,0.013098796146332503,272
2002-12-30,1,ret_1m,-0.15659603029457525,273
2002-12-30,1,ret_6m,0.05197030512621118,273
2002-12-30,2,ret_1m,-0.019031166613349876,273
2002-12-30,2,ret_6m,0.07225401777782443,273
2002-12-30,3,ret_1m,-0.04340815886894683,273
2002-12-30,3,ret_6m,0.09416277661466647,273
2002-12-30,4,ret_1m,-0.1356067705924061,273
2002-12-30,4,ret_6m,0.017004303124955766,273
2002-12-30,5,ret_1m,-0.03245047056735197,273
2002-12-30,5,ret_6m,0.06072678931201903,273
2003-01-30,1,ret_1m,-0.06897231226713711,277
2003-01-30,1,ret_6m,-0.01771040474634401,277
2003-01-30,2,ret_1m,0.03513690066646176,276
2003-01-30,2,ret_6m,0.09301099756624338,276
2003-01-30,3,ret_1m,0.07255913426789383,276
2003-01-30,3,ret_6m,0.16860033389934506,276
2003-01-30,4,ret_1m,0.02655362903156964,276
2003-01-30,4,ret_6m,0.011676775684818499,276
2003-01-30,5,ret_1m,-0.18135784654855916,276
2003-01-30,5,ret_6m,0.06083760220316491,276
2003-02-28,1,ret_1m,-0.010765510822792453,278
2003-02-28,1,ret_6m,-0.03108152659067135,278
2003-02-28,2,ret_1m,0.033951267193740704,278
2003-02-28,2,ret_6m,0.007941009484249098,278
2003-02-28,3,ret_1m,0.03894463450513536,278
2003-02-28,3,ret_6m,0.1504561089159816,278
2003-02-28,4,ret_1m,-0.04828400522831268,278
2003-02-28,4,ret_6m,0.021961980898569832,278
2003-02-28,5,ret_1m,0.008328053829597375,278
2003-02-28,5,ret_6m,0.037642936814290075,278
2003-03-31,1,ret_1m,-0.049491136340052054,278
2003-03-31,1,ret_6m,-0.06803824202211019,278
2003-03-31,2,ret_1m,-0.027661594117705586,278
2003-03-31,2,ret_6m,-0.0038776494769644904,278
2003-03-31,3,ret_1m,0.11124398105663505,278
2003-03-31,3,ret_6m,0.18088326590387174,278
2003-03-31,4,ret_1m,0.1818614940642598,278
2003-03-31,4,ret_6m,0.01605714519503828,278
2003-03-31,5,ret_1m,0.20188495401978754,278
2003-03-31,5,ret_6m,0.09977806492838166,278
2003-04-30,1,ret_1m,0.15771637066304886,276
2003-04-30,1,ret_6m,0.10030698824190479,276
2003-04-30,2,ret_1m,0.07330379770208326,275
2003-04-30,2,ret_6m,0.12545840465515481,275
2003-04-30,3,ret_1m,0.18439766238449232,275
2003-04-30,3,ret_6m,0.2863042448723732,275
2003-04-30,4,ret_1m,-0.04707627322189536,275
2003-04-30,4,ret_6m,0.06654598346066014,275
2003-04-30,5,ret_1m,0.014846371259682687,275
2003-04-30,5,ret_6m,0.18595943567698564,275
2003-05-30,1,ret_1m,-0.03229289734126372,277
2003-05-30,1,ret_6m,0.09515353833341945,277
2003-05-30,2,ret_1m,-0.004569310846333671,276
2003-05-30,2,ret_6m,0.14304054296052268,276
2003-05-30,3,ret_1m,0.04745825399652833,276
2003-05-30,3,ret_6m,0.19719395927143563,276
2003-05-30,4,ret_1m,-0.13783662109470257,276
