date,rule,monthly_return,observed_holdings
2002-06-28,stop_10,0.10486611716863384,49
2002-06-28,stop_20,0.10175076858142679,49
2002-06-28,stop_30,0.0980394849475113,49
2002-07-31,hold,0.03557527587663017,49
2002-07-31,stop_10,0.03891100823525788,49
2002-07-31,stop_20,0.04525483194698374,49
2002-07-31,stop_30,0.0394971330041841,49
2002-08-30,hold,-0.1458867664403275,50
2002-08-30,stop_10,-0.09874490295575523,50
2002-08-30,stop_20,-0.12210129903329847,50
2002-08-30,stop_30,-0.14120250760694275,50
2002-09-30,hold,0.15258886388160378,46
2002-09-30,stop_10,0.11543054343461719,46
2002-09-30,stop_20,0.13603405239200705,46
2002-09-30,stop_30,0.14952386321355995,46
2002-10-31,hold,0.05865329709262326,46
2002-10-31,stop_10,0.026208821240721908,46
2002-10-31,stop_20,0.03690951009346326,46
2002-10-31,stop_30,0.055325285157005466,46
2002-11-29,hold,-0.0778360280362705,48
2002-11-29,stop_10,-0.03395576874637851,48
2002-11-29,stop_20,-0.06247904986544442,48
2002-11-29,stop_30,-0.07696409290320903,48
2002-12-30,hold,0.07141905015979248,50
2002-12-30,stop_10,0.07814686858675099,50
2002-12-30,stop_20,0.0637608639749608,50
2002-12-30,stop_30,0.061160849882858415,50
2003-01-30,hold,0.05400915819027139,50
2003-01-30,stop_10,0.05761071853784875,50
2003-01-30,stop_20,0.05500365659974113,50
2003-01-30,stop_30,0.05684330041125367,50
2003-02-28,hold,-0.18668407971437442,49
2003-02-28,stop_10,-0.15977221984076997,49
2003-02-28,stop_20,-0.1713710636166979,49
2003-02-28,stop_30,-0.1891203471466625,49
2003-03-31,hold,0.20773770967784808,43
2003-03-31,stop_10,0.15023189150167274,43
2003-03-31,stop_20,0.18882330235238504,43
2003-03-31,stop_30,0.20837776073177378,43
2003-04-30,hold,0.06905585643150212,49
2003-04-30,stop_10,0.061627129450978486,49
2003-04-30,stop_20,0.07386799426422097,49
2003-04-30,stop_30,0.07152436657075793,49
2003-05-30,hold,0.13081540227985952,49
2003-05-30,stop_10,0.13398478855292906,49
2003-05-30,stop_20,0.13081540227985952,49
2003-05-30,stop_30,0.13081540227985952,49
2003-06-30,hold,0.0709165966327192,50
2003-06-30,stop_10,0.062385579493906176,50
2003-06-30,stop_20,0.07568566938615691,50
2003-06-30,stop_30,0.06837648908146546,50
2003-07-31,hold,-0.11749764595011902,50
2003-07-31,stop_10,-0.0891593310309821,50
2003-07-31,stop_20,-0.11672978481727865,50
2003-07-31,stop_30,-0.11683173211889955,50
2003-08-29,hold,0.026143526268702852,49
2003-08-29,stop_10,0.010287130101749685,49
2003-08-29,stop_20,0.005812139911945125,49
2003-08-29,stop_30,0.02950380817344902,49
2003-09-30,hold,0.0006787114837228251,47
2003-09-30,stop_10,0.031381033475750504,47
2003-09-30,stop_20,0.019361767260765765,47
2003-09-30,stop_30,0.015575046018915155,47
2003-10-31,hold,-0.003342342210143528,49
2003-10-31,stop_10,-0.001334594827036432,49
2003-10-31,stop_20,0.008778502738007416,49
2003-10-31,stop_30,0.0048917993860882235,49
2003-11-28,hold,0.09404555380705291,49
2003-11-28,stop_10,0.09349793073975068,49
2003-11-28,stop_20,0.10384264764233223,49
2003-11-28,stop_30,0.10253590310506513,49
2003-12-30,hold,-0.0020294597064410415,50
2003-12-30,stop_10,0.00011279277358730688,50
2003-12-30,stop_20,-0.00908351811258521,50
2003-12-30,stop_30,-0.003675548665408288,50
2004-01-30,hold,-0.04910855463050304,50
2004-01-30,stop_10,-0.0407111039908063,50
2004-01-30,stop_20,-0.05773443642441101,50
2004-01-30,stop_30,-0.0631567720121388,50
2004-02-27,hold,-0.054783418675198765,48
2004-02-27,stop_10,0.07624793909175691,48
2004-02-27,stop_20,0.041506714326376704,48
2004-02-27,stop_30,0.0003173410341237304,48
2004-03-31,hold,0.06117496134796898,38
2004-03-31,stop_10,0.08468142753883756,38
2004-03-31,stop_20,0.08627391927470589,38
2004-03-31,stop_30,0.06230430999559036,38
2004-04-30,hold,-0.05627830668894845,48
2004-04-30,stop_10,-0.054481222751554426,48
2004-04-30,stop_20,-0.09825861585797518,48
2004-04-30,stop_30,-0.0788261036389377,48
2004-05-31,hold,0.0917257786752756,48
2004-05-31,stop_10,0.12308021378215546,48
2004-05-31,stop_20,0.10535339055867991,48
2004-05-31,stop_30,0.10383157745821779,48
2004-06-30,hold,-0.13832100782260082,50
2004-06-30,stop_10,-0.08071918860296914,50
2004-06-30,stop_20,-0.09593134543832392,50
2004-06-30,stop_30,-0.10854048485094031,50
2004-07-30,hold,0.04765997363702097,49
2004-07-30,stop_10,0.014423884891583333,49
2004-07-30,stop_20,0.02229536101256079,49
2004-07-30,stop_30,0.023467754780203097,49
2004-08-31,hold,0.04174344510563871,50
2004-08-31,stop_10,0.06833121603477194,50
2004-08-31,stop_20,0.05761854171888399,50
2004-08-31,stop_30,0.04905738538799811,50
2004-09-30,hold,0.045422277635766665,48
2004-09-30,stop_10,0.09605049775296008,48
2004-09-30,stop_20,0.05416439990468543,48
2004-09-30,stop_30,0.0369461823839674,48
2004-10-29,hold,0.2382157638680274,50
2004-10-29,stop_10,0.14080052578779753,50
2004-10-29,stop_20,0.23742693918650434,50
2004-10-29,stop_30,0.24269088964975494,50
2004-11-30,hold,-0.016660583230163842,50
2004-11-30,stop_10,-0.04047656412386288,50
2004-11-30,stop_20,-0.008703674396386554,50
2004-11-30,stop_30,-0.01730154108523223,50
2004-12-30,hold,0.46864292389733964,47
2004-12-30,stop_10,0.41793406276881084,47
2004-12-30,stop_20,0.4631730512819586,47
2004-12-30,stop_30,0.46683214979140936,47
2005-01-31,hold,0.12972593212997904,50
2005-01-31,stop_10,0.051841317384795624,50
2005-01-31,stop_20,0.09616176940873998,50
2005-01-31,stop_30,0.10129037290841719,50
2005-02-28,hold,-0.13609824682782704,48
2005-02-28,stop_10,-0.03803738742262138,48
2005-02-28,stop_20,-0.10484882677928505,48
2005-02-28,stop_30,-0.11829573607415983,48
2005-03-31,hold,0.12714157525038805,38
2005-03-31,stop_10,0.14236145547943013,38
2005-03-31,stop_20,0.13887318139167845,38
2005-03-31,stop_30,0.1345426873295506,38
2005-04-29,hold,0.2846919105487812,47
2005-04-29,stop_10,0.261753686785644,47
2005-04-29,stop_20,0.27598411999856004,47
2005-04-29,stop_30,0.28641233419086554,47
2005-05-31,hold,0.3500446633718996,50
2005-05-31,stop_10,0.27177912913385405,50
2005-05-31,stop_20,0.30530067567638003,50
2005-05-31,stop_30,0.3496366710292339,50
2005-06-30,hold,0.16313804623264477,50
2005-06-30,stop_10,0.1713229292904689,50
2005-06-30,stop_20,0.1707652180645597,50
2005-06-30,stop_30,0.1711616164013498,50
2005-07-29,hold,-0.048736108730424554,50
2005-07-29,stop_10,-0.06893751505883723,50
2005-07-29,stop_20,-0.05240921530120229,50
2005-07-29,stop_30,-0.06289477980870481,50
2005-08-31,hold,0.15312128050781104,49
2005-08-31,stop_10,0.12429670264830261,49
2005-08-31,stop_20,0.13845705398666108,49
2005-08-31,stop_30,0.13610543540601966,49
2005-09-30,hold,0.22949858979679297,49
2005-09-30,stop_10,0.1854634731665782,49
2005-09-30,stop_20,0.21937674725892273,49
2005-09-30,stop_30,0.22495656930285338,49
2005-10-31,hold,0.3001704423177112,50
2005-10-31,stop_10,0.2762127891137188,50
2005-10-31,stop_20,0.2748530813917072,50
2005-10-31,stop_30,0.29749986603387596,50
2005-11-30,hold,0.11115796254901186,50
2005-11-30,stop_10,0.11052538965472189,50
2005-11-30,stop_20,0.11030598874734339,50
2005-11-30,stop_30,0.10682792086398284,50
2005-12-29,hold,0.1115284757285586,50
2005-12-29,stop_10,0.08794261187306368,50
2005-12-29,stop_20,0.08475089704229057,50
2005-12-29,stop_30,0.10756550493734145,50
2006-01-31,hold,0.07725136471782726,50
2006-01-31,stop_10,0.03471225897332107,50
2006-01-31,stop_20,0.07005195686661814,50
2006-01-31,stop_30,0.07729766101412355,50
2006-02-28,hold,0.11436760764522236,50
2006-02-28,stop_10,0.07499005809714981,50
2006-02-28,stop_20,0.11282497041318086,50
2006-02-28,stop_30,0.12346236167501584,50
2006-03-31,hold,0.17639684908981765,49
2006-03-31,stop_10,0.1770787403313657,49
2006-03-31,stop_20,0.17779234757266532,49
2006-03-31,stop_30,0.17639684908981765,49
2006-04-28,hold,-0.0764838800253813,50
2006-04-28,stop_10,-0.054837167009249316,50
2006-04-28,stop_20,-0.07212317350920232,50
2006-04-28,stop_30,-0.07794187391074095,50
2006-05-30,hold,-0.029174252972236046,50
2006-05-30,stop_10,-0.12255162182050582,50
2006-05-30,stop_20,-0.08076703858021117,50
2006-05-30,stop_30,-0.041585550163056484,50
2006-06-30,hold,0.008614991375085252,49
2006-06-30,stop_10,-0.01442418648651025,49
2006-06-30,stop_20,0.008529261555326755,49
2006-06-30,stop_30,0.008455226990431169,49
2006-07-31,hold,0.0670189469300977,50
2006-07-31,stop_10,0.06287692237863628,50
2006-07-31,stop_20,0.06810338178307854,50
2006-07-31,stop_30,0.06632296635281149,50
2006-08-31,hold,0.15928162740117316,50
2006-08-31,stop_10,0.1533794538783927,50
