date,market_next,reversal,momentum,lowvol,smallcap,reversal_z,momentum_z,lowvol_z,smallcap_z,failure_coherence
1999-12-28,,,,,,,,,,0
2000-01-31,,,,,,,,,,0
2000-02-29,,,,,,,,,,0
2000-03-31,,,,,,,,,,0
2000-04-28,,,,,,,,,,0
2000-05-31,,,,,,,,,,0
2000-06-30,,,,,,,,,,0
2000-07-31,,,,,,,,,,0
2000-08-31,-0.09348881608380538,-0.21784882441572026,-0.2555427047592057,0.007861230819283827,-0.10143698572289078,,,,,0
2000-09-29,-0.1228667860301656,-0.19012762559556476,-0.18831190816876062,-0.06982468801627557,-0.30787561737888836,,,,,0
2000-10-31,0.0421604639611734,0.007843357457013637,-0.19148705395743224,0.006709607991291896,0.28094300417560114,,,,,0
2000-11-30,-0.1374680609658413,-0.08059229203361322,-0.19799811921653762,-0.0036305835210236077,-0.08181012126903472,,,,,0
2000-12-26,0.4019759455498345,0.788704171302944,0.10723119107926052,0.057267911947179756,0.21181774864313271,,,,,0
2001-01-31,0.05820723861079337,-0.05837114848275755,-0.01898472568429148,0.04565326679761251,0.23626975895776353,,,,,0
2001-02-28,-0.08487801331371969,-0.17848755228242402,-0.1854926219939158,-0.018474503210747003,0.2245362215908691,,,,,0
2001-03-30,0.060977238851830505,-0.01818477238976763,-0.04909412818392358,0.012622196515728023,0.016635951912285896,,,,,0
2001-04-30,0.12361905528523386,0.24130488380117507,0.042135827195911156,0.1050985276006414,0.22047220268235976,,,,,0
2001-05-31,-0.006891535780471864,-0.0014871850496763835,-0.07819395294376258,0.04142311174154616,0.12270251302027986,,,,,0
2001-06-29,-0.10629912727868202,0.29734058945983943,-0.06173997309663521,-0.05675688881609685,0.03455277175689277,,,,,0
2001-07-31,-0.05519239558157916,-0.10414665590574372,-0.19021488282580465,-0.024404653214826908,0.1669753092912872,,,,,0
2001-08-31,-0.1507229785561449,-0.2913802647212335,-0.2101342486186772,-0.06611599511735029,-0.27376419660504925,,,,,0
2001-09-28,0.19456989531168542,0.31348885763105433,0.27241637941402247,0.05555761661403942,0.4185923830345805,,,,,0
2001-10-31,0.09477578843641983,0.004630410402524698,-0.04325886169748903,0.060109379553363734,0.16216554098294053,,,,,0
2001-11-30,-0.006309332387568158,-0.2027874693308214,0.03317731469812792,0.03368796357311843,-0.03930990130569787,,,,,0
2001-12-28,0.11264615207467156,0.011376260437274665,0.0724289933304154,0.03343300730961005,0.004987886245657258,,,,,0
2002-01-31,0.027646927327755994,-0.15369114711194168,-0.0595659132639955,0.06730824384814924,-0.1835425895818732,,,,,0
2002-02-28,0.11483339916563144,0.058390433800247436,0.1355581630227378,0.0900514659156384,-0.054331940450021335,,,,,0
2002-03-29,-0.1245638942191818,0.009179101385327697,-0.2231953969325328,0.3246476499544793,0.22950707696031866,,,,,0
2002-04-30,-0.027643652815162137,0.0007914443669107096,-0.014061643921851568,0.06126923767006429,0.02107807746397389,,,,,0
2002-05-31,-0.1159443844181033,-0.1542255511987995,-0.21862852107441602,-0.043071611389608355,-0.03056710171075799,,,,,0
2002-06-28,-0.0020775147161333288,0.12040163599912138,-0.09156971447779275,0.021834380009434384,0.03982072096461869,,,,,0
2002-07-31,0.025852949912038427,0.008956470871067265,-0.034894265929399974,0.05934811453741983,-0.0008364264864972733,,,,,0
2002-08-30,-0.17150136343126907,-0.3600096718463963,-0.17161352868454013,-0.001146669328317588,-0.16179422355998133,-1.619093434960321,-0.7652542179442017,-0.44024157067401165,-1.213996230186765,2
2002-09-30,0.047233007012176156,0.23391048505463122,-0.039407938092569775,0.005059415326007799,0.07139653763152452,1.021272745548879,0.25096965272994576,-0.3495237757518797,0.139780760364566,0
2002-10-31,0.029861276589930666,-0.046833256134193584,0.13538342525688674,-0.0026666130768105423,0.087250166654706,-0.2133028733100231,1.583432168398319,-0.44415919404165816,0.22696318672580884,0
2002-11-29,-0.10394380694577238,0.9791527820498935,-0.13714388569315572,-0.0505814324488122,0.9635087686930099,4.24135490240621,-0.5458571572337577,-1.0771032660208895,5.28164743592311,1
2002-12-30,0.00017733891635153624,1.2487084503275105,-0.045075991177985254,-0.03703455326534155,0.09710619993410044,4.15071524959958,0.1618493154551206,-0.8550841503113921,0.0649676386123965,0
2003-01-30,-0.006012096828645564,0.017796242022187603,-0.11585217912429911,-0.01014965764205334,-0.003300950519224777,-0.16548900442723583,-0.3849956174302723,-0.46830835839246643,-0.35783835278775883,0
2003-02-28,-0.11919688507068942,-0.28472699812523405,-0.12293792064666391,-0.04372987734878911,-0.19696976314870324,-1.0066910069522117,-0.4330754904446633,-0.9169680693154485,-1.1772444743040298,2
2003-03-31,0.17127067037264201,0.1219745223336201,0.03798416917315028,0.06949821686396712,0.14679426425324507,0.16042918614119206,0.8482421253954547,0.6589472813612398,0.32502276045470785,0
2003-04-30,0.09471829910472156,0.0024024651272594047,0.09964658869892698,0.02576355263642128,0.16206553536298815,-0.18113880191911214,1.3160424663173869,0.040388719175654376,0.3852484424105127,0
2003-05-30,0.0546232395217579,0.04421584275594916,0.03337742608727696,-0.001755774038654671,0.25991001600008196,-0.05796757970371184,0.7414420845276514,-0.3463486947117389,0.8055118700180522,0
2003-06-30,-0.004934584946513742,-0.06979701609805655,0.04195134033775324,-0.009591344123892506,0.037322340597168394,-0.3905042657428725,0.7927137964543418,-0.45220216785867107,-0.1902693915394242,0
2003-07-31,-0.008560484753616645,-0.14686774059340227,0.09759714680368452,0.00960387627491206,-0.0941843030137178,-0.61242156190361,1.2179922020377079,-0.16825801930798498,-0.7728089914551923,0
2003-08-29,-0.062090204545538624,0.008384869540751405,-0.14168510870739834,-0.014881619024016546,-0.005273038123998605,-0.13690542231049554,-0.7183120658788975,-0.5233479573195479,-0.3577748378441931,0
2003-09-30,0.006642006393780001,-0.007161780492987842,0.10061252343525276,-0.013457795701258915,-0.03285443132304674,-0.2040670470509839,1.2130926204839036,-0.49169800292783133,-0.49678562574096496,0
2003-10-31,0.004683283466679318,-0.04372622347019495,-0.06937899089522674,0.010993005159345608,-0.03245501270199653,-0.3322785425749931,-0.241754804237619,-0.16224036650122867,-0.5520913795492705,0
2003-11-28,0.010779595649722449,-0.02839847758214383,0.052783951507762134,0.003043068400704241,0.12136817900484648,-0.28100388132880694,0.7451282348246228,-0.28233518627098375,0.21411037781734743,0
2003-12-30,-0.02248532306171906,-0.05711974437827476,0.028027834320343274,0.012239264808297326,-0.01068123258607256,-0.37324632826709603,0.4899297527300477,-0.14842625966781894,-0.4425484104988784,0
2004-01-30,-0.002436558771596844,-0.030773613144348434,-0.05973658414327576,0.015839294861440374,-0.051722177425992936,-0.23892402775552912,-0.24349442379225358,-0.07648257966011761,-0.6111598022327381,0
2004-02-27,-0.008658734102371824,-0.13233977157882043,-0.048603624122202975,-0.02005876388437287,0.010222304000703075,-0.5749338948565182,-0.13711609105148825,-0.6018367155465834,-0.27676012383306786,0
2004-03-31,0.04720437307862776,0.010094956974288864,0.1572944579493109,0.013949708982154908,0.07768719572728786,-0.1120185195843072,1.6556249106233403,-0.09183156508241543,0.07734119545806614,0
2004-04-30,-0.08383787499443658,-0.09023691030491739,-0.10613655647006236,-0.0407547734364635,-0.034242139558651075,-0.44499385486865667,-0.7107831281984709,-0.9113610630739742,-0.474221545277886,0
2004-05-31,-0.026095510028713752,0.05563130604203306,-0.06943945423419946,-0.0004306296547785767,0.24276641172575575,0.06583590773898257,-0.36007813610404726,-0.2503337991937903,0.9101086217973154,0
2004-06-30,-0.05990313437922003,-0.0811486081422314,-0.20466062596065898,-0.0001313563587032644,-0.09461974858798694,-0.39145648242810505,-1.5204276445473135,-0.2284698861150289,-0.745912505137133,1
2004-07-30,0.06081936061511272,0.09746185056404609,0.14081873223502087,0.02862883607744999,0.05554690133842108,0.2357287172408611,1.4282144195912865,0.18769470134434363,-0.002716759814305767,0
2004-08-31,0.02111786707111132,-0.050829810293318296,-0.15374577613314291,0.04558139145828916,0.13185332231829072,-0.2781055487726275,-1.0942571396886203,0.4291926727495857,0.37977536623385566,1
2004-09-30,-0.005811264110377932,-0.051081971974263576,0.03612204835639427,0.025909906962133324,0.10051575932045781,-0.3061814176163963,0.47698759098398247,0.07719870967763116,0.180956161078408,0
2004-10-29,0.06801643725144159,0.11608909273183748,0.009809225125020471,0.07698641605687813,0.23607030518743216,0.29953752311516163,0.3406815349959478,0.9064948455668937,0.9459604512228491,0
2004-11-30,0.025483525312858194,0.02185675900259847,0.0342490625333624,0.0006275259167205023,-0.021423004614121496,-0.03493325674001017,0.5532272576234831,-0.31873813359803416,-0.4099820213538932,0
2004-12-30,0.2588959267268528,0.4004066769084458,0.46083318758650826,0.06672587577220729,0.6434529159829773,1.2552153727041984,4.5080263956335624,0.744848123834782,3.044862901889341,0
2005-01-31,0.13016387540107952,0.14374428317895183,-0.06154598559411735,0.1891517917987104,0.17032395267949738,0.32124064408464903,-0.3500380589732069,2.653809916964331,0.43931334958723695,0
2005-02-28,-0.05482823784858172,-0.0619678539732011,-0.08385726105564104,0.02725543155703196,-0.23904217508300232,-0.4071909873236109,-0.5158795103210173,0.04582558925989127,-1.5371464020273784,1
2005-03-31,-0.036780408985633825,-0.03900503474278104,-0.16363844917939954,-0.003288290395642949,0.044253009391398215,-0.31668240617661003,-1.081647271043446,-0.37640967326737707,-0.16685374414534274,1
