additional_one_way_bp,months,net_cagr,t_stat,mdd
0,318,0.4198057364377292,5.95648961986168,-0.4895206723251919
25,318,0.3408745740594743,5.115024132559679,-0.5502382559888944
50,318,0.26598051835366965,4.273980689266946,-0.620360265788013
100,318,0.12755805880008464,2.5932093443703415,-0.7727509295367282
150,318,0.003124659056209511,0.9142740001560498,-0.9292402632902695
200,318,-0.10861563098567095,-0.7627275941147187,-0.9928692292422242
300,318,-0.2986641036799602,-4.110542022675866,-0.9999511746933623
500,318,-0.5723364566712135,-10.778744894990233,-0.9999999998717113
