failed_signals,observations,mean_following_month_return,median_following_month_return
0,209,0.01339695154955668,0.011145497458844194
1,63,0.009964975369252758,0.007050216138939001
2,30,0.01403991955799205,0.004271929611997366
3,1,0.03155879671231073,0.03155879671231073
4,5,-0.058074282533932854,-0.0022563955671678296
