endpoint_convention,months,terminal_unpriced_holdings,net_cagr,t_stat,mdd
neutral_cash_at_last_price,318,433,0.4198057364377292,5.95648961986168,-0.4895206723251919
total_loss_at_unpriced_endpoint,318,433,-1.0,1.1599076972968785,-1.000499571746055
