date,intercept,size,liquidity,momentum,volatility,n
2000-08-31,-0.09367087804307281,0.014943761815422427,-0.03929151429354646,-0.018919008154530046,-0.042153634326421066,1027
2000-09-29,-0.12321951364556326,-0.00495440453305767,-0.06857877206304251,-0.01072927358439779,0.008264370825073187,1045
2000-10-31,0.04228103726134834,0.06694407599103437,-0.003437709118221194,-0.032463462388323726,0.018894814454167352,1049
2000-11-30,-0.138381903726298,-0.009386079640039412,-0.06500554191287514,0.0003734714519141193,-0.05918909624336125,1053
2000-12-26,0.404633010345726,0.02711620910527396,0.12376207338727911,-0.15056209815839927,0.14032462747712343,1059
2001-01-31,0.04790100870234,0.05755034690540093,-0.011172519001544767,-0.0024977307826543403,-0.02025059078711563,1065
2001-02-28,-0.08504270890388509,0.026501335034637877,-0.053305456317486115,-0.015075089105687799,0.02353546105517801,1087
2001-03-30,0.061414743704579076,-0.01251945673925886,0.017405334255276468,-0.032460644365857785,0.020797561050987873,1115
2001-04-30,0.12537518355175145,0.014050845663870349,0.010243198634721205,-0.03277725053984607,0.004791791808338868,1137
2001-05-31,-0.006945942641896643,0.01105864217891207,-0.009891364209564223,0.00046306164065922106,-0.02743687100468316,1140
2001-06-29,-0.10667997245420502,0.02172827039479279,-0.03905568098947487,0.016722693988805926,0.030328451204578305,1146
2001-07-31,-0.055574349876261336,0.002492366688832424,-0.02560540494920939,0.0019241310473251663,-0.03210939691570037,1156
2001-08-31,-0.1508958384675071,-0.031878219556558555,-0.020477012283442685,0.021974678444663925,-0.028435062926989472,1167
2001-09-28,0.19554845304166885,0.04106290060695941,0.003972810217407239,-0.03138404281116548,0.04212147315456736,1193
2001-10-31,0.09525165013568221,-0.05060754646074314,-0.007018341419428004,-0.028321119570991385,-0.015885347297177176,1195
2001-11-30,-0.005881274229173812,-0.03783484645766246,-0.03000832190830952,8.601618029786037e-05,-0.013145708254200658,1193
2001-12-28,0.11330655665132376,-0.0011022406550904053,0.011581017579540848,0.0031474408518963794,-0.025721182515684202,1194
2002-01-31,0.026555832930704334,-0.04639081050408275,-0.04472146934867808,0.008259716814312569,-0.032136372943220415,1204
2002-02-28,0.11653923333930348,-0.02093660370786657,-0.004204608876163484,0.004592385425315396,-0.014923282453473389,1211
2002-03-29,-0.13847019960920026,0.008269943155555258,-0.040634926493012355,-0.012409749870458658,-0.0034079686462924847,1216
2002-04-30,-0.028792337049070364,0.03842722295160368,0.008956053133471347,0.003986479332860237,0.0024534181695401573,1232
2002-05-31,-0.11687791408330539,-0.020442937970202073,-0.04308419087842818,-0.002191228058837459,-0.014326828953404078,1242
2002-06-28,-0.0015482884197462702,0.005305885996888837,0.005722154283748611,-0.024830520042496265,0.007339076644625894,1253
2002-07-31,0.026422424194721975,-0.008214620332744671,-0.02311961166164424,-0.010579820487930578,-0.0019245723898667479,1274
2002-08-30,-0.17120694755292284,-0.016002974867004062,-0.06507576720605592,0.023320180370737985,-0.02470838446585363,1305
2002-09-30,0.04683794597788348,0.0017257992335254282,-0.0013790622061710096,-0.03273535686222515,0.03064408192849014,1339
2002-10-31,0.02817079258141391,-0.04088925267899752,-0.02174364195187068,-0.0029059130509481524,0.009738936384500853,1354
2002-11-29,-0.12724887582033464,0.0019074032041544939,-0.02792157722935137,-0.0043565522013369615,-0.0159432664063565,1354
2002-12-30,-0.02804420936916015,0.014374789475315421,0.014347254814943308,-0.011528796350768386,0.0012761387516052039,1369
2003-01-30,-0.005798993585965637,-0.0035211366962767613,0.0027520696561889662,-0.02711991973510059,-0.0027557304193453255,1381
2003-02-28,-0.11987950551340167,-0.028894263479313634,-0.03754032093326163,0.017487635307093033,-0.02067789343265696,1389
2003-03-31,0.13941658194843506,0.009573730645697148,0.016775773871520044,-0.02215609528643627,-0.0017748255937422627,1394
2003-04-30,0.09512336667038676,0.00379216198790197,0.006626556174308734,0.004404659770301288,-0.007360801103240505,1403
2003-05-30,0.054486899142511806,0.011018381926223935,0.00045671701486872315,-0.019907588270328624,0.006599436023832736,1408
2003-06-30,-0.004952058689242185,-0.013928382106554445,-0.023273754242223985,0.0043386890047355875,-0.0006541277779200765,1412
2003-07-31,-0.008456793888880251,-0.048171028381375776,-0.03189831208251431,0.03184138632315832,-0.011015576909467577,1423
2003-08-29,-0.062350540832941295,0.01547140963933051,-0.017257343193510997,-0.006683934221134142,-0.01261980487339246,1431
2003-09-30,0.00664997417083496,-0.032591302923151655,-0.006091747644287647,0.02292676639684462,-0.005617292595064103,1447
2003-10-31,0.0046993993767504814,-0.022805842941720084,-0.017757574389596544,-0.01240937012686051,-0.014115891366989281,1453
2003-11-28,0.011148300204359477,-0.010396554144069111,-0.022212038876788163,-5.330146882016792e-05,-0.004467946262938036,1451
2003-12-30,-0.02254229391667886,0.0032947251521888753,-0.001753952067566949,0.024860528120431657,-0.0012674906423877047,1451
2004-01-30,-0.0024415860592961612,-0.018535300053553052,-0.018748382393271174,-0.004323678546071632,-0.015402401578183598,1454
2004-02-27,-0.008031897239828865,-0.002369350148225241,-0.010476640137952709,0.014228600870977898,-0.005134737392537095,1450
2004-03-31,0.04738050742291158,0.019475230727837467,-0.008796344450584945,0.010179950258708093,0.03180591519803348,1441
