date,bucket,rank_ic_12m,n
2000-06-30,1,0.07661290322580644,32
2000-06-30,2,0.1975806451612903,31
2000-06-30,3,-0.18588709677419357,31
2000-07-31,1,0.0931451612903226,31
2000-07-31,2,0.14717741935483872,31
2000-07-31,3,0.23024193548387098,31
2000-08-31,1,0.21411290322580648,31
2000-08-31,2,0.4576195773081201,30
2000-08-31,3,0.3782258064516129,31
2000-10-31,1,0.1923387096774194,31
2000-10-31,2,0.44032258064516133,31
2000-10-31,3,0.20443548387096774,31
2000-11-30,1,0.1620967741935484,31
2000-11-30,2,0.43715239154616237,30
2000-11-30,3,0.28987764182424913,30
2001-01-31,1,0.2467008797653959,32
2001-01-31,2,0.3923782659319613,31
2001-01-31,3,0.11693548387096775,31
2001-02-28,1,-0.23991935483870971,31
2001-02-28,2,0.4392034736266606,30
2001-02-28,3,0.15016685205784203,30
2001-04-30,1,-0.2602639296187683,32
2001-04-30,2,0.00806451612903226,31
2001-04-30,3,0.06895161290322582,31
2001-05-31,1,0.19354838709677416,32
2001-05-31,2,0.13185483870967743,31
2001-05-31,3,-0.3423387096774194,31
2001-07-31,1,-0.0870967741935484,31
2001-07-31,2,0.24429858867379603,30
2001-07-31,3,0.29596774193548386,31
2001-08-31,1,-0.09677419354838711,31
2001-08-31,2,0.3190566267379085,30
2001-08-31,3,0.41446051167964404,30
2001-10-31,1,0.06584224598930481,33
2001-10-31,2,0.3321114369501466,32
2001-10-31,3,0.2881231671554252,32
2001-11-30,1,0.2356283422459893,33
2001-11-30,2,0.3024193548387097,32
2001-11-30,3,0.30848930481283426,33
2002-01-31,1,-0.1605805958747135,34
2002-01-31,2,-0.3529706705730482,33
2002-01-31,3,0.15385790679908326,34
2002-02-28,1,-0.034453781512605045,35
2002-02-28,2,-0.2252272907482379,34
2002-02-28,3,0.013598166539343011,34
2002-04-30,1,-0.008689839572192513,33
2002-04-30,2,-0.25843108504398826,32
2002-04-30,3,-0.04712566844919786,33
2002-05-31,1,0.009243697478991597,35
2002-05-31,2,-0.3488158899923606,34
2002-05-31,3,0.08449197860962566,34
2002-07-31,1,0.004736440030557678,34
2002-07-31,2,-0.2519480519480519,34
2002-07-31,3,0.45790679908326964,34
2002-09-30,1,-0.06974789915966387,35
2002-09-30,2,-0.2088617265087853,34
2002-09-30,3,-0.05668449197860962,34
2002-10-31,1,-0.04453781512605043,35
2002-10-31,2,-0.1630252100840336,34
2002-10-31,3,0.07983193277310925,35
2003-02-28,1,0.39551820728291315,35
2003-02-28,2,-0.05515660809778457,34
2003-02-28,3,0.09457601222307105,34
2003-03-31,1,0.2296918767507003,35
2003-03-31,2,-0.16526610644257703,35
2003-03-31,3,0.157703081232493,35
2003-04-30,1,0.2152004637959024,36
2003-04-30,2,0.18963585434173671,35
2003-04-30,3,0.07983193277310925,35
2003-06-30,1,0.2631578947368421,38
2003-06-30,2,0.03212613365847378,37
2003-06-30,3,0.5028449502133712,37
2003-07-31,1,0.23660502607871028,37
2003-07-31,2,0.08629682313892839,37
2003-07-31,3,0.42128971076339494,37
2003-09-30,1,0.13632053105737316,37
2003-09-30,2,0.01698841698841699,36
2003-09-30,3,0.4075391180654338,37
2003-10-31,1,0.07207207207207207,37
2003-10-31,2,0.14234234234234233,36
2003-10-31,3,0.09127548601232811,37
2004-03-31,1,-0.2501930501930502,36
2004-03-31,2,0.01621621621621622,36
2004-03-31,3,0.04555984555984556,36
2004-04-30,1,-0.21621621621621626,36
2004-04-30,2,0.21932773109243697,35
2004-04-30,3,-0.16470588235294117,35
2004-05-31,1,0.05452821242294926,37
2004-05-31,2,-0.12351825509720246,37
2004-05-31,3,-0.20839260312944521,37
2004-06-30,1,0.13770913770913773,36
2004-06-30,2,-0.0036036036036036037,36
2004-06-30,3,-0.01673101673101673,36
2004-08-31,1,0.1700280112044818,35
2004-08-31,2,0.13552330022918258,34
2004-08-31,3,0.1112044817927171,35
2004-09-30,1,0.24608819345661448,37
2004-09-30,2,0.008494208494208495,36
2004-09-30,3,0.17425997425997425,36
2004-11-30,1,0.011325611325611325,36
2004-11-30,2,0.19887955182072833,35
2004-11-30,3,0.023423423423423427,36
2005-01-31,1,-0.13726884779516357,37
2005-01-31,2,0.04291133238501659,37
2005-01-31,3,0.10834518729255568,37
2005-02-28,1,-0.049075391180654335,37
2005-02-28,2,0.18223938223938224,36
2005-02-28,3,0.18255097202465623,37
2005-03-31,1,-0.10759330759330761,36
2005-03-31,2,-0.03697478991596639,35
2005-03-31,3,0.3364221364221364,36
2005-05-31,1,0.03082029397818871,37
2005-05-31,2,-0.2833976833976834,36
2005-05-31,3,0.2306780464675201,37
2005-06-30,1,-0.10196078431372549,35
2005-06-30,2,-0.26142093200916733,34
2005-06-30,3,-0.004481792717086834,35
2005-08-31,1,0.24169884169884173,36
2005-08-31,2,0.18039215686274512,35
2005-08-31,3,0.23921568627450984,35
2005-09-30,1,-0.028212422949265053,37
2005-09-30,2,0.02625482625482626,36
2005-09-30,3,0.45282124229492643,37
2005-10-31,1,0.12535392535392537,36
2005-10-31,2,0.06890756302521009,35
2005-10-31,3,0.3806949806949807,36
2005-11-30,1,0.07438867438867439,36
2005-11-30,2,0.021288515406162466,35
2005-11-30,3,0.3142857142857143,35
2006-01-31,1,0.060929350403034606,37
2006-01-31,2,0.0825035561877667,37
2006-01-31,3,-0.02299668089141773,37
2006-02-28,1,-0.02015173067804647,37
2006-02-28,2,0.012802275960170697,37
2006-02-28,3,-0.06164058795637742,37
2006-03-31,1,0.10573731626363203,37
2006-03-31,2,0.12406692406692407,36
2006-03-31,3,-0.09625414888572782,37
2006-06-30,1,0.3228744939271255,39
2006-06-30,2,-0.11631469526206367,38
2006-06-30,3,0.15920779078673816,38
2006-07-31,1,0.35809716599190283,39
2006-07-31,2,0.02068059962796805,38
2006-07-31,3,0.3242149031622716,38
2006-08-31,1,0.41720647773279357,39
2006-08-31,2,0.38089506510559135,38
2006-08-31,3,0.13421052631578947,39
2006-10-31,1,0.2487804878048781,40
2006-10-31,2,0.35748987854251013,39
2006-10-31,3,0.08611632270168856,40
2006-11-30,1,0.34028340080971664,39
2006-11-30,2,0.29031022640159515,38
2006-11-30,3,0.30829959514170036,39
2007-01-31,1,-0.022064777327935225,39
2007-01-31,2,0.21599190283400813,39
2007-01-31,3,0.30647773279352225,39
2007-02-28,1,0.06970128022759602,38
2007-02-28,2,0.3487252434620856,38
2007-02-28,3,0.07867381551592079,38
2007-04-30,1,0.21445993031358887,41
2007-04-30,2,0.05215759849906192,40
2007-04-30,3,0.00075046904315197,40
2007-05-31,1,0.2966898954703833,41
2007-05-31,2,0.10375234521575986,40
2007-05-31,3,-0.11125703564727957,40
2007-07-31,1,0.2665991902834008,39
2007-07-31,2,-0.03293576977787504,38
2007-07-31,3,-0.35344129554655873,39
2007-08-31,1,0.012543554006968645,41
2007-08-31,2,-0.12326454033771109,40
2007-08-31,3,-0.42334494773519166,41
2007-10-31,1,-0.17255717255717254,38
2007-10-31,2,-0.3736367946894263,37
2007-10-31,3,-0.046066309224203954,38
2007-11-30,1,0.006566604127579738,40
2007-11-30,2,-0.14716599190283403,39
2007-11-30,3,0.20789473684210527,39
2008-01-31,1,0.41951219512195126,40
2008-01-31,2,0.0075046904315197,40
2008-01-31,3,0.3060037523452158,40
2008-02-29,1,0.12770034843205577,41
2008-02-29,2,0.06641651031894935,40
2008-02-29,3,0.018011257035647283,40
2008-03-31,1,0.012891986062717771,41
2008-03-31,2,0.0008710801393728224,41
2008-03-31,3,0.044250871080139385,41
2008-04-30,1,-0.019860627177700353,41
2008-04-30,2,0.18742964352720454,40
2008-04-30,3,0.07901040993600265,41
2008-06-30,1,0.0666882748561705,42
2008-06-30,2,0.18240418118466903,41
2008-06-30,3,0.19128919860627183,41
2008-07-31,1,-0.0712259946519731,42
2008-07-31,2,0.06759581881533103,41
2008-07-31,3,0.022283445425816385,42
2008-09-30,1,0.04335143019204278,42
2008-09-30,2,-0.025958188153310108,41
2008-09-30,3,0.0017421602787456448,41
2008-10-31,1,-0.4404019123247711,42
2008-10-31,2,-0.19585122761526622,42
2008-10-31,3,-0.35450935904707886,42
2009-03-31,1,0.05874726521351593,42
2009-03-31,2,-0.4859411717040759,42
2009-03-31,3,-0.1908273235556276,42
2009-04-30,1,-0.22793938902844177,42
2009-04-30,2,-0.2864435621100397,42
2009-04-30,3,0.09423871647354347,42
2009-06-30,1,0.20873854827343197,44
2009-06-30,2,0.12126245847176079,43
2009-06-30,3,0.3769254001812141,43
2009-07-31,1,0.09699376063528078,42
2009-07-31,2,0.15387731950409206,42
2009-07-31,3,0.3337654971234098,42
2009-08-31,1,-0.006624383368569414,44
2009-08-31,2,0.26948555320648343,44
2009-08-31,3,-0.004228329809725159,44
2009-09-30,1,-0.017819389912413167,43
2009-09-30,2,-0.19293412203225024,42
2009-09-30,3,0.09861069163394745,43
2009-11-30,1,-0.16732105104198125,43
2009-11-30,2,0.13017215342796737,43
2009-11-30,3,-0.09166414980368467,43
2010-03-31,1,0.1553911205073996,43
2010-03-31,2,0.31383194230613404,42
2010-03-31,3,0.07807308970099668,43
2010-04-30,1,0.46889157354273636,43
2010-04-30,2,0.11109310428652458,42
2010-04-30,3,0.022198731501057084,43
2010-05-31,1,0.07878787878787878,44
2010-05-31,2,0.07808315715292459,44
2010-05-31,3,0.20394644115574348,44
2010-06-30,1,0.2422918356625976,44
2010-06-30,2,0.08426457263666566,43
2010-06-30,3,0.028047921071176884,44
2010-08-31,1,0.2152832674571805,45
2010-08-31,2,0.03662714097496706,45
2010-08-31,3,0.20724637681159416,45
2010-09-30,1,0.19464411557434813,44
2010-09-30,2,-0.1413470250679553,43
2010-09-30,3,0.21522198731501055,44
2010-11-30,1,0.15123326286116984,44
2010-11-30,2,0.13699788583509515,44
2010-11-30,3,0.4093023255813953,44
2011-01-31,1,0.11357048748353095,45
2011-01-31,2,0.06525722339675827,44
2011-01-31,3,0.16956521739130434,45
2011-02-28,1,0.2582301419510722,43
2011-02-28,2,0.5729386892177589,43
2011-02-28,3,-0.07173059498640894,43
2011-03-31,1,-0.07417654808959155,45
2011-03-31,2,0.1041536283051275,45
2011-03-31,3,0.16824769433465084,45
2011-05-31,1,-0.1274745605920444,46
2011-05-31,2,-0.13598519888991673,46
2011-05-31,3,-0.15275979031760714,46
2011-06-30,1,-0.09281529448041935,46
2011-06-30,2,-0.08516805427073697,46
2011-06-30,3,-0.13179155103299411,46
2011-08-31,1,-0.08788159111933395,47
2011-08-31,2,-0.24773358001850135,46
2011-08-31,3,-0.04508171446191797,46
2011-09-30,1,-0.16988710377768126,48
2011-09-30,2,-0.02971785383903793,47
2011-09-30,3,-0.1948427382053654,47
2011-10-31,1,0.17148473635522665,47
2011-10-31,2,0.004995374653098982,46
2011-10-31,3,0.26838575393154485,47
2011-11-30,1,-0.06625809435707677,47
2011-11-30,2,-0.023990132593277824,46
2011-11-30,3,0.22328862164662353,47
2012-01-31,1,0.30851063829787234,48
2012-01-31,2,0.2092922275293096,48
2012-01-31,3,0.18693009118541032,48
2012-02-29,1,0.04841642469283776,48
2012-02-29,2,0.2135753931544866,47
2012-02-29,3,0.1282023447676943,48
2012-04-30,1,0.15154146765089016,48
2012-04-30,2,0.3014546244029527,48
2012-04-30,3,0.22166739036039948,48
2012-05-31,1,0.24612244897959185,49
2012-05-31,2,0.013135041250542769,48
2012-05-31,3,0.14326530612244898,49
2012-07-31,1,0.14581406105457909,47
2012-07-31,2,0.38274745605920446,47
2012-07-31,3,0.05758556891766882,47
2012-08-31,1,0.15193877551020407,49
2012-08-31,2,0.24739470256187582,48
2012-08-31,3,0.020102040816326525,49
2012-10-31,1,-0.1880203515263645,47
2012-10-31,2,-0.09944495837187789,47
2012-10-31,3,-0.3517576318223866,47
2012-11-30,1,-0.17943986105080328,48
2012-11-30,2,-0.03234910985670864,48
2012-11-30,3,-0.17878853669127226,48
2013-01-31,1,0.2331741207121146,48
2013-01-31,2,0.13431239345325188,47
2013-01-31,3,-0.21580547112462004,48
2013-02-28,1,0.215154146765089,48
2013-02-28,2,0.10800185013876042,47
2013-02-28,3,-0.1445420906567993,47
2013-04-30,1,0.32530612244897955,49
2013-04-30,2,-0.08011289622231872,48
2013-04-30,3,-0.21622448979591832,49
2013-05-31,1,0.27583586626139817,48
2013-05-31,2,0.3810129509713228,47
2013-05-31,3,-0.1290471785383904,47
2013-07-31,1,-0.026530612244897955,49
2013-07-31,2,0.18530178028658276,48
2013-07-31,3,-0.0713200173686496,48
