date,selected_key,net_return
2008-01-31,small_cap|p0.9|n50|a100000000|c0.5,0.0839604181631914
2008-02-29,small_cap|p0.9|n50|a100000000|c0.5,-0.0614528016290531
2008-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.0734993113478103
2008-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.0861591066948549
2008-05-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0084735113698461
2008-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.0706074200897477
2008-07-31,small_cap|p0.9|n50|a100000000|c0.5,-0.1413585130821185
2008-08-29,small_cap|p0.9|n50|a100000000|c0.5,-0.0673377707642954
2008-09-30,small_cap|p0.9|n50|a100000000|c0.5,-0.3110600246881751
2008-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.0768236595760122
2008-11-28,small_cap|p0.9|n50|a100000000|c0.5,0.0105316366578433
2008-12-30,small_cap|p0.9|n50|a100000000|c0.5,0.0468897658165007
2009-01-30,small_cap|p0.9|n50|a100000000|c0.5,0.3165286883988786
2009-02-27,small_cap|p0.9|n50|a100000000|c0.5,-0.0376516952625171
2009-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.2800626174997649
2009-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.1819945615168347
2009-05-29,small_cap|p0.9|n50|a100000000|c0.5,0.0183798283310928
2009-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.0524603807038158
2009-07-31,small_cap|p0.9|n50|a100000000|c0.5,0.0273054703623773
2009-08-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0373881837854492
2009-09-30,small_cap|p0.9|n50|a100000000|c0.5,-0.086453896755048
2009-10-30,small_cap|p0.9|n50|a100000000|c0.5,-0.025657363678305
2009-11-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0402457841040228
2009-12-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0667615848272279
2010-01-29,small_cap|p0.9|n50|a100000000|c0.5,0.0018668045727607
2010-02-26,small_cap|p0.9|n50|a100000000|c0.5,-0.0140453107600869
2010-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.0109617194892633
2010-04-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0738761973474659
2010-05-31,small_cap|p0.9|n50|a100000000|c0.5,0.0464097367520032
2010-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.0538603101462829
2010-07-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0174076967124916
2010-08-31,small_cap|p0.9|n50|a100000000|c0.5,0.038329285231641
2010-09-30,small_cap|p0.9|n50|a100000000|c0.5,0.0300190726156348
2010-10-29,small_cap|p0.9|n50|a100000000|c0.5,-0.0105301155250421
2010-11-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0091290994360012
2010-12-30,small_cap|p0.9|n50|a100000000|c0.5,0.0197905597869424
2011-01-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0385552206139876
2011-02-28,small_cap|p1.0|n50|a100000000|c0.5,0.0275813621479508
2011-03-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0224825246512921
2011-04-29,small_cap|p1.0|n50|a100000000|c0.5,0.031195888555965
2011-05-31,small_cap|p1.0|n50|a100000000|c0.5,0.03755385240608
2011-06-30,small_cap|p1.0|n50|a100000000|c0.5,0.0375247083418941
2011-07-29,small_cap|p1.0|n50|a100000000|c0.5,-0.0630526926427074
2011-08-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0821451126628979
2011-09-30,small_cap|p1.0|n50|a100000000|c0.5,0.1810819171280234
2011-10-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0310815322610878
2011-11-30,small_cap|p1.0|n50|a100000000|c0.5,0.0746936294337557
2011-12-29,small_cap|p1.0|n50|a100000000|c0.5,0.1489244080790915
2012-01-31,small_cap|p1.0|n50|a100000000|c0.5,0.1719367926898048
2012-02-29,small_cap|p1.0|n50|a100000000|c0.5,0.019465618811011
2012-03-30,small_cap|p1.0|n50|a100000000|c0.5,-0.0066723022632914
2012-04-30,small_cap|p1.0|n50|a100000000|c0.5,0.031067390844521
2012-05-31,small_cap|p1.0|n50|a100000000|c0.5,0.1159780692905013
2012-06-29,small_cap|p1.0|n50|a100000000|c0.5,0.0100655335152877
2012-07-31,small_cap|p1.0|n50|a100000000|c0.5,0.0074121181118535
2012-08-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0308476511202155
2012-09-28,small_cap|p1.0|n50|a100000000|c0.5,-0.0523848760547911
2012-10-31,small_cap|p1.0|n50|a100000000|c0.5,-0.0489045879729805
2012-11-30,small_cap|p1.0|n50|a100000000|c0.5,-0.0311435107085527
2012-12-28,small_cap|p1.0|n50|a100000000|c0.5,0.0796442467371773
2013-01-31,small_cap|p0.9|n50|a100000000|c0.5,0.0347677659363381
2013-02-28,small_cap|p0.9|n50|a100000000|c0.5,-0.0118212424255648
2013-03-29,small_cap|p0.9|n50|a100000000|c0.5,0.1177044830991324
2013-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.1258440891744541
2013-05-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0876958529976169
2013-06-28,small_cap|p0.9|n50|a100000000|c0.5,0.0462252864537916
2013-07-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0588788061364036
2013-08-30,small_cap|p0.9|n50|a100000000|c0.5,0.0257495558176704
2013-09-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0423798710395441
2013-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.0020410956682801
2013-11-29,small_cap|p0.9|n50|a100000000|c0.5,-0.0236444962053275
2013-12-30,small_cap|p0.9|n50|a100000000|c0.5,0.0354995654337703
2014-01-29,small_cap|p0.9|n50|a100000000|c0.5,0.0101569448100843
2014-02-28,small_cap|p0.9|n50|a100000000|c0.5,0.0062103143587063
2014-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.0540128850564138
2014-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.1336064425554291
2014-05-30,small_cap|p0.9|n50|a100000000|c0.5,0.0168884705817166
2014-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.0060085730304735
2014-07-31,small_cap|p0.9|n50|a100000000|c0.5,0.1014162637358955
2014-08-29,small_cap|p0.9|n50|a100000000|c0.5,-0.0247901689104276
2014-09-30,small_cap|p0.9|n50|a100000000|c0.5,-0.030325922180091
2014-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.0562003477403518
2014-11-28,small_cap|p0.9|n50|a100000000|c0.5,-0.0231053419223905
2014-12-30,small_cap|p0.9|n50|a100000000|c0.5,0.1374390816542172
2015-01-30,small_cap|p0.9|n50|a100000000|c0.5,0.1572882458901399
2015-02-27,small_cap|p0.9|n50|a100000000|c0.5,0.1129547180302667
2015-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.1423764307300995
2015-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.0416592293074259
2015-05-29,small_cap|p0.9|n50|a100000000|c0.5,0.1408189713622031
2015-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.0643491136908092
2015-07-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0263594507328618
2015-08-31,small_cap|p0.9|n50|a100000000|c0.5,0.0945557551987309
2015-09-30,small_cap|p0.9|n50|a100000000|c0.5,0.2743415279873891
2015-10-30,small_cap|p0.9|n50|a100000000|c0.5,0.2056700369264124
2015-11-30,small_cap|p0.9|n50|a100000000|c0.5,0.1317763592470946
2015-12-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0261806164674929
2016-01-29,small_cap|p0.9|n50|a100000000|c0.5,0.051348975955561
2016-02-29,small_cap|p0.9|n50|a100000000|c0.5,0.1605123585893396
2016-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.1142327661196098
2016-04-29,small_cap|p0.9|n50|a100000000|c0.5,0.0710609832928919
2016-05-31,small_cap|p0.9|n50|a100000000|c0.5,0.0653880240973151
2016-06-30,small_cap|p0.9|n50|a100000000|c0.5,0.1374185939727499
2016-07-29,small_cap|p0.9|n50|a100000000|c0.5,0.0297157985104189
2016-08-31,small_cap|p0.9|n50|a100000000|c0.5,0.0425917810658446
2016-09-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0526976469928235
2016-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.009295628196321
2016-11-30,small_cap|p0.9|n50|a100000000|c0.5,0.0580477617959361
2016-12-29,small_cap|p0.9|n50|a100000000|c0.5,0.1208278359898152
2017-01-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0320537181794961
2017-02-28,small_cap|p0.9|n50|a100000000|c0.5,0.0067401451806994
2017-03-31,small_cap|p0.9|n50|a100000000|c0.5,0.0032692753569724
2017-04-28,small_cap|p0.9|n50|a100000000|c0.5,0.0017874842523344
2017-05-31,small_cap|p0.9|n50|a100000000|c0.5,0.0205103178329065
2017-06-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0353310827662332
2017-07-31,small_cap|p0.9|n50|a100000000|c0.5,0.0051634007594475
2017-08-31,small_cap|p0.9|n50|a100000000|c0.5,-0.094395386153433
2017-09-29,small_cap|p0.9|n50|a100000000|c0.5,0.0277473588590059
2017-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.0464314960149658
2017-11-30,small_cap|p0.9|n50|a100000000|c0.5,0.0075064475105462
2017-12-28,small_cap|p0.9|n50|a100000000|c0.5,0.2342688106166065
2018-01-31,small_cap|p0.9|n50|a100000000|c0.5,0.0377386859166496
2018-02-28,small_cap|p0.9|n50|a100000000|c0.5,0.0605584535453567
2018-03-30,small_cap|p0.9|n50|a100000000|c0.5,0.0744000028547805
2018-04-30,small_cap|p0.9|n50|a100000000|c0.5,0.0809881372367844
2018-05-31,small_cap|p0.9|n50|a100000000|c0.5,-0.0021456463822766
2018-06-29,small_cap|p0.9|n50|a100000000|c0.5,-0.007776853743712
2018-07-31,small_cap|p0.9|n50|a100000000|c0.5,0.0626138726892105
2018-08-31,small_cap|p0.9|n50|a100000000|c0.5,0.0194117234838872
2018-09-28,small_cap|p0.9|n50|a100000000|c0.5,-0.2020458375637682
2018-10-31,small_cap|p0.9|n50|a100000000|c0.5,0.1166960200086105
2018-11-30,small_cap|p0.9|n50|a100000000|c0.5,-0.0419534148493584
2018-12-28,small_cap|p0.9|n50|a100000000|c0.5,0.1232163057919131
2019-01-31,small_cap|p0.9|n50|a100000000|c0.5,0.0287151927783275
2019-02-28,small_cap|p0.9|n50|a100000000|c0.5,0.0263340444907142
2019-03-29,small_cap|p0.9|n50|a100000000|c0.5,0.1538232031378234
2019-04-30,small_cap|p0.9|n50|a100000000|c0.5,-0.022160709865079
2019-05-31,small_cap|p0.9|n50|a100000000|c0.5,0.1724835328039268
2019-06-28,small_cap|p0.9|n50|a100000000|c0.5,-0.0636898203970853
