date,path,return,holdings,banned_share
2000-08-31,contract,-0.056377643664442215,29,0.26822157434402333
2000-08-31,expand,-0.06267904558209059,27,0.446064139941691
2000-09-29,contract,-0.07341961153247532,29,0.2700381679389313
2000-09-29,expand,-0.13918390875950043,21,0.4494274809160305
2000-10-31,contract,-0.014686923329790507,29,0.26901140684410646
2000-10-31,expand,-0.03035769186362804,21,0.44866920152091255
2000-11-30,contract,-0.048665552743971045,30,0.269811320754717
2000-11-30,expand,-0.048311947526073935,25,0.4490566037735849
2000-12-26,contract,0.12040035913662404,29,0.2701688555347092
2000-12-26,expand,0.12199131896835419,21,0.44934333958724204
2001-01-31,contract,0.03284502168034131,30,0.27001862197392923
2001-01-31,expand,0.028914563376187634,20,0.4506517690875233
2001-02-28,contract,-0.07437937944811122,30,0.2694063926940639
2001-02-28,expand,-0.07898004546342975,23,0.4484018264840183
2001-03-30,contract,0.0542489782372085,29,0.26268922528940336
2001-03-30,expand,0.0863401437417335,17,0.43722172751558325
2001-04-30,contract,0.15862684124603835,29,0.25741710296684117
2001-04-30,expand,0.17937903075466324,15,0.42844677137870857
2001-05-31,contract,0.03978346470074024,30,0.25674499564838993
2001-05-31,expand,0.07343651401404672,16,0.42732811140121846
2001-06-29,contract,-0.09029917917764321,28,0.2571428571428571
2001-06-29,expand,-0.07133793582544759,10,0.4277056277056277
2001-07-31,contract,-0.009502782442232315,26,0.25687285223367695
2001-07-31,expand,-0.015414641136006824,14,0.42783505154639173
2001-08-31,contract,-0.06730867629008633,30,0.2580919931856899
2001-08-31,expand,-0.09930497983658795,15,0.4301533219761499
2001-09-28,contract,0.06185513261690868,27,0.25771476230191825
2001-09-28,expand,0.04982774780239089,17,0.4286905754795663
2001-10-31,contract,0.06704104963766246,28,0.257285595337219
2001-10-31,expand,0.07604000994038264,21,0.42880932556203166
2001-11-30,contract,0.03912061469594906,27,0.26
2001-11-30,expand,0.057747371422750306,19,0.43333333333333335
2001-12-28,contract,0.052220995519732034,29,0.2639467110741049
2001-12-28,expand,0.046900958832713925,16,0.43963363863447125
2002-01-31,contract,0.09610470620461078,28,0.2662819455894477
2002-01-31,expand,0.11962294967598623,17,0.44352844187963725
2002-02-28,contract,0.07967001446156825,30,0.2719082719082719
2002-02-28,expand,0.07295541599942823,16,0.4520884520884521
2002-03-29,contract,-0.10959938000711542,28,0.27487765089722677
2002-03-29,expand,-0.11051365476296501,14,0.45758564437194127
2002-04-30,contract,-0.01856592434650263,29,0.27046548956661315
2002-04-30,expand,-0.010980821276622315,20,0.45024077046548955
2002-05-31,contract,-0.0763368291502518,29,0.268370607028754
2002-05-31,expand,-0.0733024507826648,21,0.4464856230031949
2002-06-28,contract,-0.0007537519146705862,28,0.26782884310618066
2002-06-28,expand,-0.010874840641686132,19,0.4469096671949287
2002-07-31,contract,0.06429877351516353,30,0.26557632398753894
2002-07-31,expand,0.03408777323156068,18,0.4423676012461059
2002-08-30,contract,-0.048448975835390796,30,0.261995430312262
2002-08-30,expand,-0.05615617855756801,22,0.43716679360243715
2002-09-30,contract,0.015565510133275616,27,0.25799256505576207
2002-09-30,expand,-0.016840571909958118,14,0.42973977695167287
2002-10-31,contract,0.03795933343865157,26,0.2553191489361702
2002-10-31,expand,0.042836110602163996,15,0.425531914893617
2002-11-29,contract,-0.09997638515762938,25,0.2553191489361702
2002-11-29,expand,-0.0962764271210541,15,0.425531914893617
2002-12-30,contract,-0.06276175604661842,27,0.2545454545454545
2002-12-30,expand,-0.07510784985355638,19,0.4232727272727273
2003-01-30,contract,-0.009584237009988849,29,0.25288184438040345
2003-01-30,expand,-0.02405934957630289,17,0.4214697406340058
2003-02-28,contract,-0.054939489577870024,29,0.25483178239083754
2003-02-28,expand,-0.04986111577424304,16,0.4251968503937008
2003-03-31,contract,0.11715606116398607,24,0.25624553890078516
2003-03-31,expand,0.12460714098228053,14,0.4261241970021413
2003-04-30,contract,0.09678501442009545,27,0.2540809084457062
2003-04-30,expand,0.10364057656681774,19,0.4237047551454933
2003-05-30,contract,0.018120407833188183,30,0.25106082036775107
2003-05-30,expand,0.017417518815657045,18,0.41796322489391796
2003-06-30,contract,0.007606647664289772,29,0.25052928722653495
2003-06-30,expand,0.008360657376386926,21,0.4170783345095272
2003-07-31,contract,0.014821455393447647,30,0.24842547235829252
2003-07-31,expand,0.01109018633139458,17,0.41427571728481455
2003-08-29,contract,0.013447800528297712,27,0.24913013221990257
2003-08-29,expand,0.020775010426958295,12,0.41475295755045233
2003-09-30,contract,-0.002152428424244777,26,0.24724517906336088
2003-09-30,expand,0.0013161292293206867,16,0.4118457300275482
2003-10-31,contract,0.04705742709812024,28,0.24622770919067216
2003-10-31,expand,-0.004927000796782173,18,0.4101508916323731
2003-11-28,contract,-0.004263072498206241,29,0.24639670555936857
2003-11-28,expand,0.010803276132889476,17,0.40974605353466026
2003-12-30,contract,0.003666066442436472,28,0.24725274725274726
2003-12-30,expand,-0.012696964022008247,16,0.4114010989010989
2004-01-30,contract,0.03812596192168318,30,0.2477693891557996
2004-01-30,expand,0.04403910154626287,16,0.4131777625257378
2004-02-27,contract,0.0019454168971130992,25,0.25034387895460797
2004-02-27,expand,-0.007759789426559527,15,0.4167812929848693
2004-03-31,contract,0.019310591478033642,27,0.2524204702627939
2004-03-31,expand,0.005745832786373743,16,0.42047026279391425
2004-04-30,contract,0.004795087721644513,28,0.2515549412577747
2004-04-30,expand,-0.05164975916555159,21,0.4187975120939876
2004-05-31,contract,-0.005231468262837665,28,0.2494802494802495
2004-05-31,expand,-0.0009187757756153966,13,0.4151074151074151
2004-06-30,contract,-0.016055594581326577,23,0.2491349480968858
2004-06-30,expand,-0.028546350213490102,10,0.41453287197231836
2004-07-30,contract,0.05568262565665326,26,0.2484472049689441
2004-07-30,expand,0.06614899177847633,15,0.4140786749482402
2004-08-31,contract,0.04151125015673533,26,0.24708304735758407
2004-08-31,expand,0.04672492257217122,11,0.4118050789293068
2004-09-30,contract,0.0249906091940765,28,0.2465846994535519
2004-09-30,expand,0.04050081139003221,15,0.4105191256830601
2004-10-29,contract,0.05668093451913121,27,0.2452445652173913
2004-10-29,expand,0.0736546868574195,13,0.40828804347826086
2004-11-30,contract,-0.018694595804361298,28,0.24574540503744044
2004-11-30,expand,-0.01276024390178356,17,0.4098025867937372
2004-12-30,contract,0.15310275608380303,26,0.24726775956284153
2004-12-30,expand,0.20796068027541573,17,0.41188524590163933
2005-01-31,contract,0.1404598520698363,29,0.24795640326975477
2005-01-31,expand,0.13198706795217138,21,0.4128065395095368
2005-02-28,contract,0.015214397344842805,30,0.24813052345343303
2005-02-28,expand,-0.006146721107392514,19,0.4126444595513256
