delay_months,months,net_cagr,t_stat,mdd
0,318,0.4198057364377292,5.95648961986168,-0.4895206723251919
1,317,0.2846838594183818,4.809485153908601,-0.6327509234211504
2,316,0.26321813185986764,4.711713318230029,-0.6001271462365614
3,315,0.295577564344605,4.622216659199896,-0.5416108098863577
